Season,Date,Home,Away,URL
2023/2024,21-10-2023,Chelsea,Arsenal,https://www.xscores.com/soccer/match/chelsea-vs-arsenal/21-10-2023/2139511
2023/2024,21-10-2023,Sheffield United,Manchester United,https://www.xscores.com/soccer/match/sheffield-united-vs-manchester-united/21-10-2023/2139506
2023/2024,22-10-2023,Aston Villa,WestHam,https://www.xscores.com/soccer/match/aston-villa-vs-west-ham/22-10-2023/2139503
2023/2024,23-10-2023,Tottenham,Fulham,https://www.xscores.com/soccer/match/tottenham-vs-fulham/23-10-2023/2139505
2023/2024,27-10-2023,Crystal Palace,Tottenham,https://www.xscores.com/soccer/match/crystal-palace-vs-tottenham/27-10-2023/2139528
2023/2024,28-10-2023,Chelsea,Brentford,https://www.xscores.com/soccer/match/chelsea-vs-brentford/28-10-2023/2139527
2023/2024,28-10-2023,Arsenal,Sheffield United,https://www.xscores.com/soccer/match/arsenal-vs-sheffield-united/28-10-2023/2139524
2023/2024,28-10-2023,Bournemouth,Burnley,https://www.xscores.com/soccer/match/bournemouth-vs-burnley/28-10-2023/2139504
2023/2024,28-10-2023,Wolverhampton,Newcastle,https://www.xscores.com/soccer/match/wolverhampton-vs-newcastle/28-10-2023/2139523
2023/2024,29-10-2023,WestHam,Everton,https://www.xscores.com/soccer/match/west-ham-vs-everton/29-10-2023/2139531
2023/2024,29-10-2023,Aston Villa,Luton,https://www.xscores.com/soccer/match/aston-villa-vs-luton/29-10-2023/2139525
2023/2024,29-10-2023,Brighton,Fulham,https://www.xscores.com/soccer/match/brighton-vs-fulham/29-10-2023/2139526
2023/2024,29-10-2023,Liverpool,Nottingham Forest,https://www.xscores.com/soccer/match/liverpool-vs-nottingham-forest/29-10-2023/2139529
2023/2024,29-10-2023,Manchester United,Manchester City,https://www.xscores.com/soccer/match/manchester-united-vs-manchester-city/29-10-2023/2139530
2023/2024,04-11-2023,Fulham,Manchester United,https://www.xscores.com/soccer/match/fulham-vs-manchester-united/04-11-2023/2139514
2023/2024,04-11-2023,Brentford,WestHam,https://www.xscores.com/soccer/match/brentford-vs-west-ham/04-11-2023/2139522
2023/2024,04-11-2023,Burnley,Crystal Palace,https://www.xscores.com/soccer/match/burnley-vs-crystal-palace/04-11-2023/2139521
2023/2024,04-11-2023,Everton,Brighton,https://www.xscores.com/soccer/match/everton-vs-brighton/04-11-2023/2139513
2023/2024,04-11-2023,Manchester City,Bournemouth,https://www.xscores.com/soccer/match/manchester-city-vs-bournemouth/04-11-2023/2139516
2023/2024,04-11-2023,Sheffield United,Wolverhampton,https://www.xscores.com/soccer/match/sheffield-united-vs-wolverhampton/04-11-2023/2139519
2023/2024,04-11-2023,Newcastle,Arsenal,https://www.xscores.com/soccer/match/newcastle-vs-arsenal/04-11-2023/2139517
2023/2024,05-11-2023,Nottingham Forest,Aston Villa,https://www.xscores.com/soccer/match/nottingham-forest-vs-aston-villa/05-11-2023/2139518
2023/2024,05-11-2023,Luton,Liverpool,https://www.xscores.com/soccer/match/luton-vs-liverpool/05-11-2023/2139515
2023/2024,06-11-2023,Tottenham,Chelsea,https://www.xscores.com/soccer/match/tottenham-vs-chelsea/06-11-2023/2139520
2023/2024,11-11-2023,Wolverhampton,Tottenham,https://www.xscores.com/soccer/match/wolverhampton-vs-tottenham/11-11-2023/2139541
2023/2024,11-11-2023,Arsenal,Burnley,https://www.xscores.com/soccer/match/arsenal-vs-burnley/11-11-2023/2139539
2023/2024,11-11-2023,Crystal Palace,Everton,https://www.xscores.com/soccer/match/crystal-palace-vs-everton/11-11-2023/2139535
2023/2024,11-11-2023,Manchester United,Luton,https://www.xscores.com/soccer/match/manchester-united-vs-luton/11-11-2023/2139533
2023/2024,11-11-2023,Bournemouth,Newcastle,https://www.xscores.com/soccer/match/bournemouth-vs-newcastle/11-11-2023/2139532
2023/2024,12-11-2023,Aston Villa,Fulham,https://www.xscores.com/soccer/match/aston-villa-vs-fulham/12-11-2023/2139538
2023/2024,12-11-2023,Brighton,Sheffield United,https://www.xscores.com/soccer/match/brighton-vs-sheffield-united/12-11-2023/2139537
2023/2024,12-11-2023,Liverpool,Brentford,https://www.xscores.com/soccer/match/liverpool-vs-brentford/12-11-2023/2139534
