URL,Home Team,Away Team,date,Card Type,Side,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/crystal-palace-vs-arsenal/05-08-2022/1205835,Crystal Palace,Arsenal,2022-08-05T20:00:00,Yellow card,away,Granit Xhaka,44,0
https://www.xscores.com/soccer/match/crystal-palace-vs-arsenal/05-08-2022/1205835,Crystal Palace,Arsenal,2022-08-05T20:00:00,Yellow card,away,Ben White,60,0
https://www.xscores.com/soccer/match/crystal-palace-vs-arsenal/05-08-2022/1205835,Crystal Palace,Arsenal,2022-08-05T20:00:00,Yellow card,home,Nathaniel Clyne,64,0
https://www.xscores.com/soccer/match/fulham-vs-liverpool/06-08-2022/1205836,Fulham,Liverpool,2022-08-06T12:30:00,Yellow card,home,Kenny Tete,17,0
https://www.xscores.com/soccer/match/fulham-vs-liverpool/06-08-2022/1205836,Fulham,Liverpool,2022-08-06T12:30:00,Yellow card,home,Bobby Reid,90,0
https://www.xscores.com/soccer/match/bournemouth-vs-aston-villa/06-08-2022/1205837,Bournemouth,Aston Villa,2022-08-06T15:00:00,Yellow card,away,Danny Ings,23,0
https://www.xscores.com/soccer/match/bournemouth-vs-aston-villa/06-08-2022/1205837,Bournemouth,Aston Villa,2022-08-06T15:00:00,Yellow card,home,Adam Smith,39,0
https://www.xscores.com/soccer/match/bournemouth-vs-aston-villa/06-08-2022/1205837,Bournemouth,Aston Villa,2022-08-06T15:00:00,Yellow card,home,Ben Pearson,45,2
https://www.xscores.com/soccer/match/bournemouth-vs-aston-villa/06-08-2022/1205837,Bournemouth,Aston Villa,2022-08-06T15:00:00,Yellow card,away,Jacob Ramsey,45,3
https://www.xscores.com/soccer/match/bournemouth-vs-aston-villa/06-08-2022/1205837,Bournemouth,Aston Villa,2022-08-06T15:00:00,Yellow card,home,Philip Billing,73,0
https://www.xscores.com/soccer/match/bournemouth-vs-aston-villa/06-08-2022/1205837,Bournemouth,Aston Villa,2022-08-06T15:00:00,Yellow card,away,Douglas Luiz,90,3
https://www.xscores.com/soccer/match/leeds-vs-wolverhampton/06-08-2022/1205838,Leeds,Wolverhampton,2022-08-06T15:00:00,Yellow card,home,Jack Harrison,20,0
https://www.xscores.com/soccer/match/leeds-vs-wolverhampton/06-08-2022/1205838,Leeds,Wolverhampton,2022-08-06T15:00:00,Yellow card,home,Tyler Adams,90,3
https://www.xscores.com/soccer/match/newcastle-vs-nottingham-forest/06-08-2022/1205842,Newcastle,Nottingham Forest,2022-08-06T15:00:00,Yellow card,away,Joe Worrall,15,0
https://www.xscores.com/soccer/match/newcastle-vs-nottingham-forest/06-08-2022/1205842,Newcastle,Nottingham Forest,2022-08-06T15:00:00,Yellow card,away,Neco Williams,23,0
