URL,Home Team,Away Team,date,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/manchester-city-vs-norwich/21-08-2021/319132,Manchester City,Norwich,2021-08-21T15:00:00,Regular goal,5-0,Riyad Mahrez,84,0
https://www.xscores.com/soccer/match/brighton-vs-watford/21-08-2021/319128,Brighton,Watford,2021-08-21T17:30:00,Regular goal,1-0,Shane Duffy,10,0
https://www.xscores.com/soccer/match/brighton-vs-watford/21-08-2021/319128,Brighton,Watford,2021-08-21T17:30:00,Regular goal,2-0,Neal Maupay,41,0
https://www.xscores.com/soccer/match/southampton-vs-manchester-united/22-08-2021/319133,Southampton,Manchester United,2021-08-22T14:00:00,Own goal,1-0,Fred,30,0
https://www.xscores.com/soccer/match/southampton-vs-manchester-united/22-08-2021/319133,Southampton,Manchester United,2021-08-22T14:00:00,Regular goal,1-1,Mason Greenwood,55,0
https://www.xscores.com/soccer/match/wolverhampton-vs-tottenham/22-08-2021/319135,Wolverhampton,Tottenham,2021-08-22T14:00:00,Penalty,0-1,Dele Alli,9,0
https://www.xscores.com/soccer/match/arsenal-vs-chelsea/22-08-2021/319126,Arsenal,Chelsea,2021-08-22T16:30:00,Regular goal,0-1,Romelu Lukaku,15,0
https://www.xscores.com/soccer/match/arsenal-vs-chelsea/22-08-2021/319126,Arsenal,Chelsea,2021-08-22T16:30:00,Regular goal,0-2,Reece James,35,0
https://www.xscores.com/soccer/match/west-ham-vs-leicester/23-08-2021/319134,West Ham,Leicester,2021-08-23T20:00:00,Regular goal,1-0,Pablo Fornals,26,0
https://www.xscores.com/soccer/match/west-ham-vs-leicester/23-08-2021/319134,West Ham,Leicester,2021-08-23T20:00:00,Regular goal,2-0,Said Benrahma,56,0
https://www.xscores.com/soccer/match/west-ham-vs-leicester/23-08-2021/319134,West Ham,Leicester,2021-08-23T20:00:00,Regular goal,2-1,Youri Tielemans,69,0
https://www.xscores.com/soccer/match/west-ham-vs-leicester/23-08-2021/319134,West Ham,Leicester,2021-08-23T20:00:00,Regular goal,3-1,Michail Antonio,80,0
https://www.xscores.com/soccer/match/west-ham-vs-leicester/23-08-2021/319134,West Ham,Leicester,2021-08-23T20:00:00,Regular goal,4-1,Michail Antonio,84,0
https://www.xscores.com/soccer/match/manchester-city-vs-arsenal/28-08-2021/319140,Manchester City,Arsenal,2021-08-28T12:30:00,Regular goal,1-0,Ilkay Gundogan,7,0
https://www.xscores.com/soccer/match/manchester-city-vs-arsenal/28-08-2021/319140,Manchester City,Arsenal,2021-08-28T12:30:00,Regular goal,2-0,Ferran Torres,12,0
https://www.xscores.com/soccer/match/manchester-city-vs-arsenal/28-08-2021/319140,Manchester City,Arsenal,2021-08-28T12:30:00,Regular goal,3-0,Gabriel Jesus,43,0
https://www.xscores.com/soccer/match/manchester-city-vs-arsenal/28-08-2021/319140,Manchester City,Arsenal,2021-08-28T12:30:00,Regular goal,4-0,Rodri,53,0
https://www.xscores.com/soccer/match/manchester-city-vs-arsenal/28-08-2021/319140,Manchester City,Arsenal,2021-08-28T12:30:00,Regular goal,5-0,Ferran Torres,84,0
https://www.xscores.com/soccer/match/aston-villa-vs-brentford/28-08-2021/319136,Aston Villa,Brentford,2021-08-28T15:00:00,Regular goal,0-1,Ivan Toney,7,0
https://www.xscores.com/soccer/match/aston-villa-vs-brentford/28-08-2021/319136,Aston Villa,Brentford,2021-08-28T15:00:00,Regular goal,1-1,Emiliano Buendia,13,0
https://www.xscores.com/soccer/match/brighton-vs-everton/28-08-2021/319137,Brighton,Everton,2021-08-28T15:00:00,Regular goal,0-1,Demarai Gray,41,0
https://www.xscores.com/soccer/match/brighton-vs-everton/28-08-2021/319137,Brighton,Everton,2021-08-28T15:00:00,Penalty,0-2,Dominic Calvert-Lewin,58,0
