season,date,home_team,away_team,url
1999/2000,1999-08-07T16:00:00,Arsenal,Leicester,https://www.xscores.com/soccer/match/arsenal-vs-leicester/07-08-1999/475632
1999/2000,1999-08-07T16:00:00,Chelsea,Sunderland,https://www.xscores.com/soccer/match/chelsea-vs-sunderland/07-08-1999/475633
1999/2000,1999-08-07T16:00:00,Coventry,Southampton,https://www.xscores.com/soccer/match/coventry-vs-southampton/07-08-1999/475634
1999/2000,1999-08-07T16:00:00,Leeds,Derby,https://www.xscores.com/soccer/match/leeds-vs-derby/07-08-1999/475635
1999/2000,1999-08-07T16:00:00,Middlesbrough,Bradford,https://www.xscores.com/soccer/match/middlesbrough-vs-bradford/07-08-1999/475636
1999/2000,1999-08-07T16:00:00,Newcastle,Aston Villa,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/07-08-1999/475637
1999/2000,1999-08-07T16:00:00,Sheffield Wednesday,Liverpool,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-liverpool/07-08-1999/475638
1999/2000,1999-08-07T16:00:00,Watford,AFC Wimbledon,https://www.xscores.com/soccer/match/watford-vs-afc-wimbledon/07-08-1999/482969
1999/2000,1999-08-07T16:00:00,West Ham,Tottenham,https://www.xscores.com/soccer/match/west-ham-vs-tottenham/07-08-1999/475639
1999/2000,1999-08-08T17:00:00,Everton,Manchester United,https://www.xscores.com/soccer/match/everton-vs-manchester-united/08-08-1999/475640
1999/2000,1999-08-09T21:00:00,Tottenham,Newcastle,https://www.xscores.com/soccer/match/tottenham-vs-newcastle/09-08-1999/475641
1999/2000,1999-08-10T20:45:00,AFC Wimbledon,Middlesbrough,https://www.xscores.com/soccer/match/afc-wimbledon-vs-middlesbrough/10-08-1999/482970
1999/2000,1999-08-10T20:45:00,Sunderland,Watford,https://www.xscores.com/soccer/match/sunderland-vs-watford/10-08-1999/475642
1999/2000,1999-08-10T21:00:00,Derby,Arsenal,https://www.xscores.com/soccer/match/derby-vs-arsenal/10-08-1999/475643
