season,date,home_team,away_team,url
2007/2008,2007-08-11T12:45:00,Sunderland,Tottenham,https://www.xscores.com/soccer/match/sunderland-vs-tottenham/11-08-2007/1536422
2007/2008,2007-08-11T15:00:00,Bolton,Newcastle,https://www.xscores.com/soccer/match/bolton-vs-newcastle/11-08-2007/1536411
2007/2008,2007-08-11T15:00:00,Derby,Portsmouth,https://www.xscores.com/soccer/match/derby-vs-portsmouth/11-08-2007/1536414
2007/2008,2007-08-11T15:00:00,Everton,Wigan,https://www.xscores.com/soccer/match/everton-vs-wigan/11-08-2007/1536416
2007/2008,2007-08-11T15:00:00,Middlesbrough,Blackburn,https://www.xscores.com/soccer/match/middlesbrough-vs-blackburn/11-08-2007/1536421
2007/2008,2007-08-11T15:00:00,West Ham,Manchester City,https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/11-08-2007/1536424
2007/2008,2007-08-11T17:15:00,Aston Villa,Liverpool,https://www.xscores.com/soccer/match/aston-villa-vs-liverpool/11-08-2007/1536410
2007/2008,2007-08-12T12:00:00,Arsenal,Fulham,https://www.xscores.com/soccer/match/arsenal-vs-fulham/12-08-2007/1536409
2007/2008,2007-08-12T13:30:00,Chelsea,Birmingham,https://www.xscores.com/soccer/match/chelsea-vs-birmingham/12-08-2007/1536412
2007/2008,2007-08-12T16:00:00,Manchester United,Reading,https://www.xscores.com/soccer/match/manchester-united-vs-reading/12-08-2007/1536418
2007/2008,2007-08-14T20:00:00,Tottenham,Everton,https://www.xscores.com/soccer/match/tottenham-vs-everton/14-08-2007/1536431
2007/2008,2007-08-15T19:45:00,Birmingham,Sunderland,https://www.xscores.com/soccer/match/birmingham-vs-sunderland/15-08-2007/1536426
2007/2008,2007-08-15T19:45:00,Fulham,Bolton,https://www.xscores.com/soccer/match/fulham-vs-bolton/15-08-2007/1536437
2007/2008,2007-08-15T19:45:00,Manchester City,Derby,https://www.xscores.com/soccer/match/manchester-city-vs-derby/15-08-2007/1536441
2007/2008,2007-08-15T19:45:00,Portsmouth,Manchester United,https://www.xscores.com/soccer/match/portsmouth-vs-manchester-united/15-08-2007/1536428
2007/2008,2007-08-15T20:00:00,Reading,Chelsea,https://www.xscores.com/soccer/match/reading-vs-chelsea/15-08-2007/1536430
2007/2008,2007-08-15T20:00:00,Wigan,Middlesbrough,https://www.xscores.com/soccer/match/wigan-vs-middlesbrough/15-08-2007/1536432
2007/2008,2007-11-28T20:00:00,Blackburn,Aston Villa,https://www.xscores.com/soccer/match/blackburn-vs-aston-villa/28-11-2007/1536435
2007/2008,2007-12-05T19:45:00,Newcastle,Arsenal,https://www.xscores.com/soccer/match/newcastle-vs-arsenal/05-12-2007/1536443
2007/2008,2008-03-05T20:00:00,Liverpool,West Ham,https://www.xscores.com/soccer/match/liverpool-vs-west-ham/05-03-2008/1536439
2007/2008,2007-08-18T12:45:00,Portsmouth,Bolton,https://www.xscores.com/soccer/match/portsmouth-vs-bolton/18-08-2007/1536462
2007/2008,2007-08-18T15:00:00,Birmingham,West Ham,https://www.xscores.com/soccer/match/birmingham-vs-west-ham/18-08-2007/1536452
2007/2008,2007-08-18T15:00:00,Fulham,Middlesbrough,https://www.xscores.com/soccer/match/fulham-vs-middlesbrough/18-08-2007/1536455
2007/2008,2007-08-18T15:00:00,Reading,Everton,https://www.xscores.com/soccer/match/reading-vs-everton/18-08-2007/1536463
2007/2008,2007-08-18T15:00:00,Tottenham,Derby,https://www.xscores.com/soccer/match/tottenham-vs-derby/18-08-2007/1536465
2007/2008,2007-08-18T15:00:00,Wigan,Sunderland,https://www.xscores.com/soccer/match/wigan-vs-sunderland/18-08-2007/1536467
2007/2008,2007-08-18T17:15:00,Newcastle,Aston Villa,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/18-08-2007/1536460
2007/2008,2007-08-19T13:30:00,Manchester City,Manchester United,https://www.xscores.com/soccer/match/manchester-city-vs-manchester-united/19-08-2007/1536458
2007/2008,2007-08-19T15:00:00,Blackburn,Arsenal,https://www.xscores.com/soccer/match/blackburn-vs-arsenal/19-08-2007/1536453
2007/2008,2007-08-19T16:00:00,Liverpool,Chelsea,https://www.xscores.com/soccer/match/liverpool-vs-chelsea/19-08-2007/1536456
2007/2008,2007-08-25T12:45:00,Sunderland,Liverpool,https://www.xscores.com/soccer/match/sunderland-vs-liverpool/25-08-2007/1536483
2007/2008,2007-08-25T15:00:00,Arsenal,Manchester City,https://www.xscores.com/soccer/match/arsenal-vs-manchester-city/25-08-2007/1536470
2007/2008,2007-08-25T15:00:00,Aston Villa,Fulham,https://www.xscores.com/soccer/match/aston-villa-vs-fulham/25-08-2007/1536471
2007/2008,2007-08-25T15:00:00,Bolton,Reading,https://www.xscores.com/soccer/match/bolton-vs-reading/25-08-2007/1536473
2007/2008,2007-08-25T15:00:00,Chelsea,Portsmouth,https://www.xscores.com/soccer/match/chelsea-vs-portsmouth/25-08-2007/1536475
2007/2008,2007-08-25T15:00:00,Derby,Birmingham,https://www.xscores.com/soccer/match/derby-vs-birmingham/25-08-2007/1536477
2007/2008,2007-08-25T15:00:00,West Ham,Wigan,https://www.xscores.com/soccer/match/west-ham-vs-wigan/25-08-2007/1536484
2007/2008,2007-08-25T17:15:00,Everton,Blackburn,https://www.xscores.com/soccer/match/everton-vs-blackburn/25-08-2007/1536479
2007/2008,2007-08-26T13:35:00,Middlesbrough,Newcastle,https://www.xscores.com/soccer/match/middlesbrough-vs-newcastle/26-08-2007/1536481
2007/2008,2007-08-26T16:00:00,Manchester United,Tottenham,https://www.xscores.com/soccer/match/manchester-united-vs-tottenham/26-08-2007/1536480
2007/2008,2007-09-01T15:00:00,Bolton,Everton,https://www.xscores.com/soccer/match/bolton-vs-everton/01-09-2007/1536495
2007/2008,2007-09-01T15:00:00,Fulham,Tottenham,https://www.xscores.com/soccer/match/fulham-vs-tottenham/01-09-2007/1536496
2007/2008,2007-09-01T15:00:00,Liverpool,Derby,https://www.xscores.com/soccer/match/liverpool-vs-derby/01-09-2007/1536498
