season,date,home_team,away_team,url
2006/2007,2006-08-19T12:50:00,Sheffield United,Liverpool,https://www.xscores.com/soccer/match/sheffield-united-vs-liverpool/19-08-2006/1533467
2006/2007,2006-08-19T15:00:00,Arsenal,Aston Villa,https://www.xscores.com/soccer/match/arsenal-vs-aston-villa/19-08-2006/1533459
2006/2007,2006-08-19T15:00:00,Everton,Watford,https://www.xscores.com/soccer/match/everton-vs-watford/19-08-2006/1533462
2006/2007,2006-08-19T15:00:00,Newcastle,Wigan,https://www.xscores.com/soccer/match/newcastle-vs-wigan/19-08-2006/1533464
2006/2007,2006-08-19T15:00:00,Portsmouth,Blackburn,https://www.xscores.com/soccer/match/portsmouth-vs-blackburn/19-08-2006/1533465
2006/2007,2006-08-19T15:00:00,Reading,Middlesbrough,https://www.xscores.com/soccer/match/reading-vs-middlesbrough/19-08-2006/1533466
2006/2007,2006-08-19T15:00:00,West Ham,Charlton,https://www.xscores.com/soccer/match/west-ham-vs-charlton/19-08-2006/1533468
2006/2007,2006-08-19T17:15:00,Bolton,Tottenham,https://www.xscores.com/soccer/match/bolton-vs-tottenham/19-08-2006/1533460
2006/2007,2006-08-20T13:30:00,Manchester United,Fulham,https://www.xscores.com/soccer/match/manchester-united-vs-fulham/20-08-2006/1533463
2006/2007,2006-08-20T16:00:00,Chelsea,Manchester City,https://www.xscores.com/soccer/match/chelsea-vs-manchester-city/20-08-2006/1533461
2006/2007,2006-08-22T19:45:00,Watford,West Ham,https://www.xscores.com/soccer/match/watford-vs-west-ham/22-08-2006/1533508
2006/2007,2006-08-22T20:00:00,Tottenham,Sheffield United,https://www.xscores.com/soccer/match/tottenham-vs-sheffield-united/22-08-2006/1533507
2006/2007,2006-08-23T19:45:00,Aston Villa,Reading,https://www.xscores.com/soccer/match/aston-villa-vs-reading/23-08-2006/1533510
2006/2007,2006-08-23T19:45:00,Manchester City,Portsmouth,https://www.xscores.com/soccer/match/manchester-city-vs-portsmouth/23-08-2006/1533514
2006/2007,2006-08-23T20:00:00,Blackburn,Everton,https://www.xscores.com/soccer/match/blackburn-vs-everton/23-08-2006/1533511
2006/2007,2006-08-23T20:00:00,Charlton,Manchester United,https://www.xscores.com/soccer/match/charlton-vs-manchester-united/23-08-2006/1533505
2006/2007,2006-08-23T20:00:00,Fulham,Bolton,https://www.xscores.com/soccer/match/fulham-vs-bolton/23-08-2006/1533512
2006/2007,2006-08-23T20:00:00,Middlesbrough,Chelsea,https://www.xscores.com/soccer/match/middlesbrough-vs-chelsea/23-08-2006/1533506
2006/2007,2006-09-20T20:00:00,Liverpool,Newcastle,https://www.xscores.com/soccer/match/liverpool-vs-newcastle/20-09-2006/1533513
2006/2007,2006-12-13T19:45:00,Wigan,Arsenal,https://www.xscores.com/soccer/match/wigan-vs-arsenal/13-12-2006/1533509
2006/2007,2006-08-26T12:45:00,Liverpool,West Ham,https://www.xscores.com/soccer/match/liverpool-vs-west-ham/26-08-2006/1533519
2006/2007,2006-08-26T15:00:00,Charlton,Bolton,https://www.xscores.com/soccer/match/charlton-vs-bolton/26-08-2006/1533517
2006/2007,2006-08-26T15:00:00,Fulham,Sheffield United,https://www.xscores.com/soccer/match/fulham-vs-sheffield-united/26-08-2006/1533518
2006/2007,2006-08-26T15:00:00,Tottenham,Everton,https://www.xscores.com/soccer/match/tottenham-vs-everton/26-08-2006/1533522
2006/2007,2006-08-26T15:00:00,Watford,Manchester United,https://www.xscores.com/soccer/match/watford-vs-manchester-united/26-08-2006/1533523
2006/2007,2006-08-26T15:00:00,Wigan,Reading,https://www.xscores.com/soccer/match/wigan-vs-reading/26-08-2006/1533524
2006/2007,2006-08-26T17:15:00,Manchester City,Arsenal,https://www.xscores.com/soccer/match/manchester-city-vs-arsenal/26-08-2006/1533520
2006/2007,2006-08-27T14:00:00,Aston Villa,Newcastle,https://www.xscores.com/soccer/match/aston-villa-vs-newcastle/27-08-2006/1533515
2006/2007,2006-08-27T16:00:00,Blackburn,Chelsea,https://www.xscores.com/soccer/match/blackburn-vs-chelsea/27-08-2006/1533516
2006/2007,2006-08-28T20:00:00,Middlesbrough,Portsmouth,https://www.xscores.com/soccer/match/middlesbrough-vs-portsmouth/28-08-2006/1533521
2006/2007,2006-09-09T12:45:00,Everton,Liverpool,https://www.xscores.com/soccer/match/everton-vs-liverpool/09-09-2006/1533528
2006/2007,2006-09-09T15:00:00,Arsenal,Middlesbrough,https://www.xscores.com/soccer/match/arsenal-vs-middlesbrough/09-09-2006/1533525
2006/2007,2006-09-09T15:00:00,Bolton,Watford,https://www.xscores.com/soccer/match/bolton-vs-watford/09-09-2006/1533526
2006/2007,2006-09-09T15:00:00,Chelsea,Charlton,https://www.xscores.com/soccer/match/chelsea-vs-charlton/09-09-2006/1533527
2006/2007,2006-09-09T15:00:00,Newcastle,Fulham,https://www.xscores.com/soccer/match/newcastle-vs-fulham/09-09-2006/1533530
2006/2007,2006-09-09T15:00:00,Portsmouth,Wigan,https://www.xscores.com/soccer/match/portsmouth-vs-wigan/09-09-2006/1533531
2006/2007,2006-09-09T15:00:00,Sheffield United,Blackburn,https://www.xscores.com/soccer/match/sheffield-united-vs-blackburn/09-09-2006/1533533
2006/2007,2006-09-09T17:15:00,Manchester United,Tottenham,https://www.xscores.com/soccer/match/manchester-united-vs-tottenham/09-09-2006/1533529
2006/2007,2006-09-10T16:00:00,West Ham,Aston Villa,https://www.xscores.com/soccer/match/west-ham-vs-aston-villa/10-09-2006/1533534
2006/2007,2006-09-11T20:00:00,Reading,Manchester City,https://www.xscores.com/soccer/match/reading-vs-manchester-city/11-09-2006/1533532
2006/2007,2006-09-16T12:45:00,Charlton,Portsmouth,https://www.xscores.com/soccer/match/charlton-vs-portsmouth/16-09-2006/1533537
2006/2007,2006-09-16T15:00:00,Bolton,Middlesbrough,https://www.xscores.com/soccer/match/bolton-vs-middlesbrough/16-09-2006/1533536
2006/2007,2006-09-16T15:00:00,Everton,Wigan,https://www.xscores.com/soccer/match/everton-vs-wigan/16-09-2006/1533539
2006/2007,2006-09-16T15:00:00,Sheffield United,Reading,https://www.xscores.com/soccer/match/sheffield-united-vs-reading/16-09-2006/1533541
2006/2007,2006-09-16T17:15:00,Watford,Aston Villa,https://www.xscores.com/soccer/match/watford-vs-aston-villa/16-09-2006/1533543
2006/2007,2006-09-17T13:30:00,Chelsea,Liverpool,https://www.xscores.com/soccer/match/chelsea-vs-liverpool/17-09-2006/1533538
2006/2007,2006-09-17T15:00:00,Blackburn,Manchester City,https://www.xscores.com/soccer/match/blackburn-vs-manchester-city/17-09-2006/1533535
2006/2007,2006-09-17T15:00:00,Tottenham,Fulham,https://www.xscores.com/soccer/match/tottenham-vs-fulham/17-09-2006/1533542
2006/2007,2006-09-17T15:00:00,West Ham,Newcastle,https://www.xscores.com/soccer/match/west-ham-vs-newcastle/17-09-2006/1533544
2006/2007,2006-09-17T16:00:00,Manchester United,Arsenal,https://www.xscores.com/soccer/match/manchester-united-vs-arsenal/17-09-2006/1533540
2006/2007,2006-09-23T12:45:00,Liverpool,Tottenham,https://www.xscores.com/soccer/match/liverpool-vs-tottenham/23-09-2006/1533548
2006/2007,2006-09-23T15:00:00,Arsenal,Sheffield United,https://www.xscores.com/soccer/match/arsenal-vs-sheffield-united/23-09-2006/1533545
2006/2007,2006-09-23T15:00:00,Aston Villa,Charlton,https://www.xscores.com/soccer/match/aston-villa-vs-charlton/23-09-2006/1533546
2006/2007,2006-09-23T15:00:00,Fulham,Chelsea,https://www.xscores.com/soccer/match/fulham-vs-chelsea/23-09-2006/1533547
2006/2007,2006-09-23T15:00:00,Manchester City,West Ham,https://www.xscores.com/soccer/match/manchester-city-vs-west-ham/23-09-2006/1533549
2006/2007,2006-09-23T15:00:00,Middlesbrough,Blackburn,https://www.xscores.com/soccer/match/middlesbrough-vs-blackburn/23-09-2006/1533550
2006/2007,2006-09-23T15:00:00,Wigan,Watford,https://www.xscores.com/soccer/match/wigan-vs-watford/23-09-2006/1533554
2006/2007,2006-09-23T17:15:00,Reading,Manchester United,https://www.xscores.com/soccer/match/reading-vs-manchester-united/23-09-2006/1533553
2006/2007,2006-09-24T16:00:00,Newcastle,Everton,https://www.xscores.com/soccer/match/newcastle-vs-everton/24-09-2006/1533551
2006/2007,2006-09-25T20:05:00,Portsmouth,Bolton,https://www.xscores.com/soccer/match/portsmouth-vs-bolton/25-09-2006/1533552
2006/2007,2006-09-30T12:45:00,Bolton,Liverpool,https://www.xscores.com/soccer/match/bolton-vs-liverpool/30-09-2006/1533556
2006/2007,2006-09-30T15:00:00,Charlton,Arsenal,https://www.xscores.com/soccer/match/charlton-vs-arsenal/30-09-2006/1533557
2006/2007,2006-09-30T15:00:00,Chelsea,Aston Villa,https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/30-09-2006/1533558
2006/2007,2006-09-30T15:00:00,Everton,Manchester City,https://www.xscores.com/soccer/match/everton-vs-manchester-city/30-09-2006/1533559
2006/2007,2006-09-30T17:15:00,Sheffield United,Middlesbrough,https://www.xscores.com/soccer/match/sheffield-united-vs-middlesbrough/30-09-2006/1533561
2006/2007,2006-10-01T14:00:00,West Ham,Reading,https://www.xscores.com/soccer/match/west-ham-vs-reading/01-10-2006/1533564
2006/2007,2006-10-01T15:00:00,Blackburn,Wigan,https://www.xscores.com/soccer/match/blackburn-vs-wigan/01-10-2006/1533555
2006/2007,2006-10-01T15:00:00,Manchester United,Newcastle,https://www.xscores.com/soccer/match/manchester-united-vs-newcastle/01-10-2006/1533560
2006/2007,2006-10-01T16:00:00,Tottenham,Portsmouth,https://www.xscores.com/soccer/match/tottenham-vs-portsmouth/01-10-2006/1533562
2006/2007,2006-10-02T20:00:00,Watford,Fulham,https://www.xscores.com/soccer/match/watford-vs-fulham/02-10-2006/1533563
2006/2007,2006-10-14T12:45:00,Wigan,Manchester United,https://www.xscores.com/soccer/match/wigan-vs-manchester-united/14-10-2006/1533574
2006/2007,2006-10-14T15:00:00,Arsenal,Watford,https://www.xscores.com/soccer/match/arsenal-vs-watford/14-10-2006/1533565
2006/2007,2006-10-14T15:00:00,Aston Villa,Tottenham,https://www.xscores.com/soccer/match/aston-villa-vs-tottenham/14-10-2006/1533566
2006/2007,2006-10-14T15:00:00,Liverpool,Blackburn,https://www.xscores.com/soccer/match/liverpool-vs-blackburn/14-10-2006/1533568
2006/2007,2006-10-14T15:00:00,Manchester City,Sheffield United,https://www.xscores.com/soccer/match/manchester-city-vs-sheffield-united/14-10-2006/1533569
2006/2007,2006-10-14T15:00:00,Middlesbrough,Everton,https://www.xscores.com/soccer/match/middlesbrough-vs-everton/14-10-2006/1533570
2006/2007,2006-10-14T15:00:00,Portsmouth,West Ham,https://www.xscores.com/soccer/match/portsmouth-vs-west-ham/14-10-2006/1533572
2006/2007,2006-10-14T17:15:00,Reading,Chelsea,https://www.xscores.com/soccer/match/reading-vs-chelsea/14-10-2006/1533573
2006/2007,2006-10-15T16:00:00,Newcastle,Bolton,https://www.xscores.com/soccer/match/newcastle-vs-bolton/15-10-2006/1533571
2006/2007,2006-10-16T20:00:00,Fulham,Charlton,https://www.xscores.com/soccer/match/fulham-vs-charlton/16-10-2006/1533567
2006/2007,2006-10-21T12:45:00,Wigan,Manchester City,https://www.xscores.com/soccer/match/wigan-vs-manchester-city/21-10-2006/1533584
2006/2007,2006-10-21T15:00:00,Charlton,Watford,https://www.xscores.com/soccer/match/charlton-vs-watford/21-10-2006/1533577
2006/2007,2006-10-21T15:00:00,Chelsea,Portsmouth,https://www.xscores.com/soccer/match/chelsea-vs-portsmouth/21-10-2006/1533578
2006/2007,2006-10-21T15:00:00,Everton,Sheffield United,https://www.xscores.com/soccer/match/everton-vs-sheffield-united/21-10-2006/1533579
2006/2007,2006-10-21T17:15:00,Aston Villa,Fulham,https://www.xscores.com/soccer/match/aston-villa-vs-fulham/21-10-2006/1533575
2006/2007,2006-10-22T13:00:00,Manchester United,Liverpool,https://www.xscores.com/soccer/match/manchester-united-vs-liverpool/22-10-2006/1533580
2006/2007,2006-10-22T15:00:00,Blackburn,Bolton,https://www.xscores.com/soccer/match/blackburn-vs-bolton/22-10-2006/1533576
2006/2007,2006-10-22T15:00:00,Middlesbrough,Newcastle,https://www.xscores.com/soccer/match/middlesbrough-vs-newcastle/22-10-2006/1533581
2006/2007,2006-10-22T15:00:00,Tottenham,West Ham,https://www.xscores.com/soccer/match/tottenham-vs-west-ham/22-10-2006/1533583
2006/2007,2006-10-22T16:00:00,Reading,Arsenal,https://www.xscores.com/soccer/match/reading-vs-arsenal/22-10-2006/1533582
2006/2007,2006-10-28T12:45:00,Sheffield United,Chelsea,https://www.xscores.com/soccer/match/sheffield-united-vs-chelsea/28-10-2006/1533592
2006/2007,2006-10-28T15:00:00,Arsenal,Everton,https://www.xscores.com/soccer/match/arsenal-vs-everton/28-10-2006/1533585
2006/2007,2006-10-28T15:00:00,Bolton,Manchester United,https://www.xscores.com/soccer/match/bolton-vs-manchester-united/28-10-2006/1533586
2006/2007,2006-10-28T15:00:00,Fulham,Wigan,https://www.xscores.com/soccer/match/fulham-vs-wigan/28-10-2006/1533587
2006/2007,2006-10-28T15:00:00,Liverpool,Aston Villa,https://www.xscores.com/soccer/match/liverpool-vs-aston-villa/28-10-2006/1533588
2006/2007,2006-10-28T15:00:00,Portsmouth,Reading,https://www.xscores.com/soccer/match/portsmouth-vs-reading/28-10-2006/1533591
2006/2007,2006-10-28T15:00:00,Watford,Tottenham,https://www.xscores.com/soccer/match/watford-vs-tottenham/28-10-2006/1533593
2006/2007,2006-10-28T17:15:00,Newcastle,Charlton,https://www.xscores.com/soccer/match/newcastle-vs-charlton/28-10-2006/1533590
2006/2007,2006-10-29T16:00:00,West Ham,Blackburn,https://www.xscores.com/soccer/match/west-ham-vs-blackburn/29-10-2006/1533594
2006/2007,2006-10-30T20:00:00,Manchester City,Middlesbrough,https://www.xscores.com/soccer/match/manchester-city-vs-middlesbrough/30-10-2006/1533589
2006/2007,2006-11-04T12:45:00,Fulham,Everton,https://www.xscores.com/soccer/match/fulham-vs-everton/04-11-2006/1533598
2006/2007,2006-11-04T15:00:00,Bolton,Wigan,https://www.xscores.com/soccer/match/bolton-vs-wigan/04-11-2006/1533596
2006/2007,2006-11-04T15:00:00,Charlton,Manchester City,https://www.xscores.com/soccer/match/charlton-vs-manchester-city/04-11-2006/1533597
2006/2007,2006-11-04T15:00:00,Liverpool,Reading,https://www.xscores.com/soccer/match/liverpool-vs-reading/04-11-2006/1533599
2006/2007,2006-11-04T15:00:00,Manchester United,Portsmouth,https://www.xscores.com/soccer/match/manchester-united-vs-portsmouth/04-11-2006/1533600
2006/2007,2006-11-04T15:00:00,Watford,Middlesbrough,https://www.xscores.com/soccer/match/watford-vs-middlesbrough/04-11-2006/1533603
2006/2007,2006-11-04T17:15:00,Newcastle,Sheffield United,https://www.xscores.com/soccer/match/newcastle-vs-sheffield-united/04-11-2006/1533601
2006/2007,2006-11-05T13:30:00,West Ham,Arsenal,https://www.xscores.com/soccer/match/west-ham-vs-arsenal/05-11-2006/1533604
2006/2007,2006-11-05T14:00:00,Aston Villa,Blackburn,https://www.xscores.com/soccer/match/aston-villa-vs-blackburn/05-11-2006/1533595
2006/2007,2006-11-05T16:00:00,Tottenham,Chelsea,https://www.xscores.com/soccer/match/tottenham-vs-chelsea/05-11-2006/1533602
2006/2007,2006-11-11T12:50:00,Manchester City,Newcastle,https://www.xscores.com/soccer/match/manchester-city-vs-newcastle/11-11-2006/1533609
2006/2007,2006-11-11T15:00:00,Chelsea,Watford,https://www.xscores.com/soccer/match/chelsea-vs-watford/11-11-2006/1533607
2006/2007,2006-11-11T15:00:00,Everton,Aston Villa,https://www.xscores.com/soccer/match/everton-vs-aston-villa/11-11-2006/1533608
2006/2007,2006-11-11T15:00:00,Middlesbrough,West Ham,https://www.xscores.com/soccer/match/middlesbrough-vs-west-ham/11-11-2006/1533610
2006/2007,2006-11-11T15:00:00,Portsmouth,Fulham,https://www.xscores.com/soccer/match/portsmouth-vs-fulham/11-11-2006/1533611
2006/2007,2006-11-11T15:00:00,Sheffield United,Bolton,https://www.xscores.com/soccer/match/sheffield-united-vs-bolton/11-11-2006/1533613
2006/2007,2006-11-11T15:00:00,Wigan,Charlton,https://www.xscores.com/soccer/match/wigan-vs-charlton/11-11-2006/1533614
2006/2007,2006-11-11T17:15:00,Blackburn,Manchester United,https://www.xscores.com/soccer/match/blackburn-vs-manchester-united/11-11-2006/1533606
2006/2007,2006-11-12T13:30:00,Reading,Tottenham,https://www.xscores.com/soccer/match/reading-vs-tottenham/12-11-2006/1533612
2006/2007,2006-11-12T16:05:00,Arsenal,Liverpool,https://www.xscores.com/soccer/match/arsenal-vs-liverpool/12-11-2006/1533605
2006/2007,2006-11-18T12:50:00,Manchester City,Fulham,https://www.xscores.com/soccer/match/manchester-city-vs-fulham/18-11-2006/1533619
2006/2007,2006-11-18T15:00:00,Arsenal,Newcastle,https://www.xscores.com/soccer/match/arsenal-vs-newcastle/18-11-2006/1533615
2006/2007,2006-11-18T15:00:00,Chelsea,West Ham,https://www.xscores.com/soccer/match/chelsea-vs-west-ham/18-11-2006/1533617
