season,date,home_team,away_team,url
2020/2021,2020-09-12T12:30:00,Fulham,Arsenal,https://www.xscores.com/soccer/match/fulham-vs-arsenal/12-09-2020/208221
2020/2021,2020-09-12T15:00:00,Crystal Palace,Southampton,https://www.xscores.com/soccer/match/crystal-palace-vs-southampton/12-09-2020/208220
2020/2021,2020-09-12T17:30:00,Liverpool,Leeds,https://www.xscores.com/soccer/match/liverpool-vs-leeds/12-09-2020/208222
2020/2021,2020-09-12T20:00:00,West Ham,Newcastle,https://www.xscores.com/soccer/match/west-ham-vs-newcastle/12-09-2020/208225
2020/2021,2020-09-13T14:00:00,West Bromwich,Leicester,https://www.xscores.com/soccer/match/west-bromwich-vs-leicester/13-09-2020/208224
2020/2021,2020-09-13T16:30:00,Tottenham,Everton,https://www.xscores.com/soccer/match/tottenham-vs-everton/13-09-2020/208223
2020/2021,2020-09-14T18:00:00,Sheffield United,Wolverhampton,https://www.xscores.com/soccer/match/sheffield-united-vs-wolverhampton/14-09-2020/208227
2020/2021,2020-09-14T20:15:00,Brighton,Chelsea,https://www.xscores.com/soccer/match/brighton-vs-chelsea/14-09-2020/208226
2020/2021,2021-01-12T20:15:00,Burnley,Manchester United,https://www.xscores.com/soccer/match/burnley-vs-manchester-united/12-01-2021/208218
2020/2021,2021-01-20T18:00:00,Manchester City,Aston Villa,https://www.xscores.com/soccer/match/manchester-city-vs-aston-villa/20-01-2021/208219
2020/2021,2020-09-19T12:30:00,Everton,West Bromwich,https://www.xscores.com/soccer/match/everton-vs-west-bromwich/19-09-2020/208231
2020/2021,2020-09-19T15:00:00,Leeds,Fulham,https://www.xscores.com/soccer/match/leeds-vs-fulham/19-09-2020/208232
2020/2021,2020-09-19T17:30:00,Manchester United,Crystal Palace,https://www.xscores.com/soccer/match/manchester-united-vs-crystal-palace/19-09-2020/208234
2020/2021,2020-09-19T20:00:00,Arsenal,West Ham,https://www.xscores.com/soccer/match/arsenal-vs-west-ham/19-09-2020/208228
2020/2021,2020-09-20T12:00:00,Southampton,Tottenham,https://www.xscores.com/soccer/match/southampton-vs-tottenham/20-09-2020/208236
2020/2021,2020-09-20T14:00:00,Newcastle,Brighton,https://www.xscores.com/soccer/match/newcastle-vs-brighton/20-09-2020/208235
2020/2021,2020-09-20T16:30:00,Chelsea,Liverpool,https://www.xscores.com/soccer/match/chelsea-vs-liverpool/20-09-2020/208230
2020/2021,2020-09-20T19:00:00,Leicester,Burnley,https://www.xscores.com/soccer/match/leicester-vs-burnley/20-09-2020/208233
2020/2021,2020-09-21T18:00:00,Aston Villa,Sheffield United,https://www.xscores.com/soccer/match/aston-villa-vs-sheffield-united/21-09-2020/208229
2020/2021,2020-09-21T20:15:00,Wolverhampton,Manchester City,https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-city/21-09-2020/208237
2020/2021,2020-09-26T12:30:00,Brighton,Manchester United,https://www.xscores.com/soccer/match/brighton-vs-manchester-united/26-09-2020/208238
2020/2021,2020-09-26T15:00:00,Crystal Palace,Everton,https://www.xscores.com/soccer/match/crystal-palace-vs-everton/26-09-2020/208240
2020/2021,2020-09-26T17:30:00,West Bromwich,Chelsea,https://www.xscores.com/soccer/match/west-bromwich-vs-chelsea/26-09-2020/208246
