season,date,home_team,away_team,url
2016/2017,2016-08-13T12:30:00,Hull,Leicester,https://www.xscores.com/soccer/match/hull-vs-leicester/13-08-2016/1461947
2016/2017,2016-08-13T15:00:00,Burnley,Swansea,https://www.xscores.com/soccer/match/burnley-vs-swansea/13-08-2016/1461943
2016/2017,2016-08-13T15:00:00,Crystal Palace,West Bromwich,https://www.xscores.com/soccer/match/crystal-palace-vs-west-bromwich/13-08-2016/1461945
2016/2017,2016-08-13T15:00:00,Everton,Tottenham,https://www.xscores.com/soccer/match/everton-vs-tottenham/13-08-2016/1461946
2016/2017,2016-08-13T15:00:00,Middlesbrough,Stoke,https://www.xscores.com/soccer/match/middlesbrough-vs-stoke/13-08-2016/1461949
2016/2017,2016-08-13T15:00:00,Southampton,Watford,https://www.xscores.com/soccer/match/southampton-vs-watford/13-08-2016/1461950
2016/2017,2016-08-13T17:30:00,Manchester City,Sunderland,https://www.xscores.com/soccer/match/manchester-city-vs-sunderland/13-08-2016/1461948
2016/2017,2016-08-14T13:30:00,Bournemouth,Manchester United,https://www.xscores.com/soccer/match/bournemouth-vs-manchester-united/14-08-2016/1461941
2016/2017,2016-08-14T16:00:00,Arsenal,Liverpool,https://www.xscores.com/soccer/match/arsenal-vs-liverpool/14-08-2016/1461942
2016/2017,2016-08-15T20:00:00,Chelsea,West Ham,https://www.xscores.com/soccer/match/chelsea-vs-west-ham/15-08-2016/1461944
2016/2017,2016-08-19T20:00:00,Manchester United,Southampton,https://www.xscores.com/soccer/match/manchester-united-vs-southampton/19-08-2016/1461953
2016/2017,2016-08-20T12:30:00,Stoke,Manchester City,https://www.xscores.com/soccer/match/stoke-vs-manchester-city/20-08-2016/1461954
2016/2017,2016-08-20T15:00:00,Burnley,Liverpool,https://www.xscores.com/soccer/match/burnley-vs-liverpool/20-08-2016/1461952
2016/2017,2016-08-20T15:00:00,Swansea,Hull,https://www.xscores.com/soccer/match/swansea-vs-hull/20-08-2016/1461956
2016/2017,2016-08-20T15:00:00,Tottenham,Crystal Palace,https://www.xscores.com/soccer/match/tottenham-vs-crystal-palace/20-08-2016/1461957
2016/2017,2016-08-20T15:00:00,Watford,Chelsea,https://www.xscores.com/soccer/match/watford-vs-chelsea/20-08-2016/1461958
2016/2017,2016-08-20T15:00:00,West Bromwich,Everton,https://www.xscores.com/soccer/match/west-bromwich-vs-everton/20-08-2016/1461959
2016/2017,2016-08-20T17:30:00,Leicester,Arsenal,https://www.xscores.com/soccer/match/leicester-vs-arsenal/20-08-2016/1461951
2016/2017,2016-08-21T13:30:00,Sunderland,Middlesbrough,https://www.xscores.com/soccer/match/sunderland-vs-middlesbrough/21-08-2016/1461955
2016/2017,2016-08-21T16:00:00,West Ham,Bournemouth,https://www.xscores.com/soccer/match/west-ham-vs-bournemouth/21-08-2016/1461960
2016/2017,2016-08-27T12:30:00,Tottenham,Liverpool,https://www.xscores.com/soccer/match/tottenham-vs-liverpool/27-08-2016/1461968
2016/2017,2016-08-27T15:00:00,Chelsea,Burnley,https://www.xscores.com/soccer/match/chelsea-vs-burnley/27-08-2016/1461961
2016/2017,2016-08-27T15:00:00,Crystal Palace,Bournemouth,https://www.xscores.com/soccer/match/crystal-palace-vs-bournemouth/27-08-2016/1461962
2016/2017,2016-08-27T15:00:00,Everton,Stoke,https://www.xscores.com/soccer/match/everton-vs-stoke/27-08-2016/1461963
2016/2017,2016-08-27T15:00:00,Leicester,Swansea,https://www.xscores.com/soccer/match/leicester-vs-swansea/27-08-2016/1461965
2016/2017,2016-08-27T15:00:00,Southampton,Sunderland,https://www.xscores.com/soccer/match/southampton-vs-sunderland/27-08-2016/1461967
2016/2017,2016-08-27T15:00:00,Watford,Arsenal,https://www.xscores.com/soccer/match/watford-vs-arsenal/27-08-2016/1461970
2016/2017,2016-08-27T17:30:00,Hull,Manchester United,https://www.xscores.com/soccer/match/hull-vs-manchester-united/27-08-2016/1461964
2016/2017,2016-08-28T13:30:00,West Bromwich,Middlesbrough,https://www.xscores.com/soccer/match/west-bromwich-vs-middlesbrough/28-08-2016/1461972
2016/2017,2016-08-28T16:00:00,Manchester City,West Ham,https://www.xscores.com/soccer/match/manchester-city-vs-west-ham/28-08-2016/1461966
2016/2017,2016-09-10T12:30:00,Manchester United,Manchester City,https://www.xscores.com/soccer/match/manchester-united-vs-manchester-city/10-09-2016/1461985
2016/2017,2016-09-10T15:00:00,Arsenal,Southampton,https://www.xscores.com/soccer/match/arsenal-vs-southampton/10-09-2016/1461982
2016/2017,2016-09-10T15:00:00,Bournemouth,West Bromwich,https://www.xscores.com/soccer/match/bournemouth-vs-west-bromwich/10-09-2016/1461981
2016/2017,2016-09-10T15:00:00,Burnley,Hull,https://www.xscores.com/soccer/match/burnley-vs-hull/10-09-2016/1461983
2016/2017,2016-09-10T15:00:00,Middlesbrough,Crystal Palace,https://www.xscores.com/soccer/match/middlesbrough-vs-crystal-palace/10-09-2016/1461986
2016/2017,2016-09-10T15:00:00,Stoke,Tottenham,https://www.xscores.com/soccer/match/stoke-vs-tottenham/10-09-2016/1461987
2016/2017,2016-09-10T15:00:00,West Ham,Watford,https://www.xscores.com/soccer/match/west-ham-vs-watford/10-09-2016/1461990
2016/2017,2016-09-10T17:30:00,Liverpool,Leicester,https://www.xscores.com/soccer/match/liverpool-vs-leicester/10-09-2016/1461984
2016/2017,2016-09-11T16:00:00,Swansea,Chelsea,https://www.xscores.com/soccer/match/swansea-vs-chelsea/11-09-2016/1461989
2016/2017,2016-09-12T20:00:00,Sunderland,Everton,https://www.xscores.com/soccer/match/sunderland-vs-everton/12-09-2016/1461988
2016/2017,2016-09-16T20:00:00,Chelsea,Liverpool,https://www.xscores.com/soccer/match/chelsea-vs-liverpool/16-09-2016/1461991
2016/2017,2016-09-17T15:00:00,Hull,Arsenal,https://www.xscores.com/soccer/match/hull-vs-arsenal/17-09-2016/1461994
2016/2017,2016-09-17T15:00:00,Leicester,Burnley,https://www.xscores.com/soccer/match/leicester-vs-burnley/17-09-2016/1461995
2016/2017,2016-09-17T15:00:00,Manchester City,Bournemouth,https://www.xscores.com/soccer/match/manchester-city-vs-bournemouth/17-09-2016/1461996
2016/2017,2016-09-17T15:00:00,West Bromwich,West Ham,https://www.xscores.com/soccer/match/west-bromwich-vs-west-ham/17-09-2016/1462000
2016/2017,2016-09-17T17:30:00,Everton,Middlesbrough,https://www.xscores.com/soccer/match/everton-vs-middlesbrough/17-09-2016/1461993
2016/2017,2016-09-18T12:00:00,Watford,Manchester United,https://www.xscores.com/soccer/match/watford-vs-manchester-united/18-09-2016/1461999
2016/2017,2016-09-18T14:15:00,Crystal Palace,Stoke,https://www.xscores.com/soccer/match/crystal-palace-vs-stoke/18-09-2016/1461992
2016/2017,2016-09-18T14:15:00,Southampton,Swansea,https://www.xscores.com/soccer/match/southampton-vs-swansea/18-09-2016/1461997
2016/2017,2016-09-18T16:30:00,Tottenham,Sunderland,https://www.xscores.com/soccer/match/tottenham-vs-sunderland/18-09-2016/1461998
2016/2017,2016-09-24T12:30:00,Manchester United,Leicester,https://www.xscores.com/soccer/match/manchester-united-vs-leicester/24-09-2016/1462010
2016/2017,2016-09-24T15:00:00,Bournemouth,Everton,https://www.xscores.com/soccer/match/bournemouth-vs-everton/24-09-2016/1462002
2016/2017,2016-09-24T15:00:00,Liverpool,Hull,https://www.xscores.com/soccer/match/liverpool-vs-hull/24-09-2016/1462008
2016/2017,2016-09-24T15:00:00,Middlesbrough,Tottenham,https://www.xscores.com/soccer/match/middlesbrough-vs-tottenham/24-09-2016/1462012
2016/2017,2016-09-24T15:00:00,Stoke,West Bromwich,https://www.xscores.com/soccer/match/stoke-vs-west-bromwich/24-09-2016/1462014
2016/2017,2016-09-24T15:00:00,Sunderland,Crystal Palace,https://www.xscores.com/soccer/match/sunderland-vs-crystal-palace/24-09-2016/1462016
2016/2017,2016-09-24T15:00:00,Swansea,Manchester City,https://www.xscores.com/soccer/match/swansea-vs-manchester-city/24-09-2016/1462018
2016/2017,2016-09-24T17:30:00,Arsenal,Chelsea,https://www.xscores.com/soccer/match/arsenal-vs-chelsea/24-09-2016/1462004
2016/2017,2016-09-25T16:00:00,West Ham,Southampton,https://www.xscores.com/soccer/match/west-ham-vs-southampton/25-09-2016/1462020
2016/2017,2016-09-26T20:00:00,Burnley,Watford,https://www.xscores.com/soccer/match/burnley-vs-watford/26-09-2016/1462006
2016/2017,2016-09-30T20:00:00,Everton,Crystal Palace,https://www.xscores.com/soccer/match/everton-vs-crystal-palace/30-09-2016/1462022
2016/2017,2016-10-01T12:30:00,Swansea,Liverpool,https://www.xscores.com/soccer/match/swansea-vs-liverpool/01-10-2016/1462033
2016/2017,2016-10-01T15:00:00,Hull,Chelsea,https://www.xscores.com/soccer/match/hull-vs-chelsea/01-10-2016/1462023
2016/2017,2016-10-01T15:00:00,Sunderland,West Bromwich,https://www.xscores.com/soccer/match/sunderland-vs-west-bromwich/01-10-2016/1462031
2016/2017,2016-10-01T15:00:00,Watford,Bournemouth,https://www.xscores.com/soccer/match/watford-vs-bournemouth/01-10-2016/1462037
2016/2017,2016-10-01T15:00:00,West Ham,Middlesbrough,https://www.xscores.com/soccer/match/west-ham-vs-middlesbrough/01-10-2016/1462039
