season,date,home_team,away_team,url
1997/1998,1997-08-09T01:00:00,AFC Wimbledon,Liverpool,https://www.xscores.com/soccer/match/afc-wimbledon-vs-liverpool/09-08-1997/1598788
1997/1998,1997-08-09T01:00:00,Barnsley,West Ham,https://www.xscores.com/soccer/match/barnsley-vs-west-ham/09-08-1997/1598779
1997/1998,1997-08-09T01:00:00,Blackburn,Derby,https://www.xscores.com/soccer/match/blackburn-vs-derby/09-08-1997/1598780
1997/1998,1997-08-09T01:00:00,Coventry,Chelsea,https://www.xscores.com/soccer/match/coventry-vs-chelsea/09-08-1997/1598781
1997/1998,1997-08-09T01:00:00,Everton,Crystal Palace,https://www.xscores.com/soccer/match/everton-vs-crystal-palace/09-08-1997/1598782
1997/1998,1997-08-09T01:00:00,Leeds,Arsenal,https://www.xscores.com/soccer/match/leeds-vs-arsenal/09-08-1997/1598783
1997/1998,1997-08-09T01:00:00,Leicester,Aston Villa,https://www.xscores.com/soccer/match/leicester-vs-aston-villa/09-08-1997/1598784
1997/1998,1997-08-09T01:00:00,Newcastle,Sheffield Wednesday,https://www.xscores.com/soccer/match/newcastle-vs-sheffield-wednesday/09-08-1997/1598785
1997/1998,1997-08-09T01:00:00,Southampton,Bolton,https://www.xscores.com/soccer/match/southampton-vs-bolton/09-08-1997/1598786
1997/1998,1997-08-09T01:00:00,Tottenham,Manchester United,https://www.xscores.com/soccer/match/tottenham-vs-manchester-united/09-08-1997/1598787
1997/1998,1997-08-12T01:00:00,Arsenal,Coventry,https://www.xscores.com/soccer/match/arsenal-vs-coventry/12-08-1997/1598789
1997/1998,1997-08-12T01:00:00,Crystal Palace,Barnsley,https://www.xscores.com/soccer/match/crystal-palace-vs-barnsley/12-08-1997/1598790
1997/1998,1997-08-13T01:00:00,Aston Villa,Blackburn,https://www.xscores.com/soccer/match/aston-villa-vs-blackburn/13-08-1997/1598791
1997/1998,1997-08-13T01:00:00,Derby,AFC Wimbledon,https://www.xscores.com/soccer/match/derby-vs-afc-wimbledon/13-08-1997/1598792
