season,date,home_team,away_team,url
2014/2015,2014-08-16T12:45:00,Manchester United,Swansea,https://www.xscores.com/soccer/match/manchester-united-vs-swansea/16-08-2014/1503179
2014/2015,2014-08-16T15:00:00,Leicester,Everton,https://www.xscores.com/soccer/match/leicester-vs-everton/16-08-2014/1503177
2014/2015,2014-08-16T15:00:00,Queens Park Rangers,Hull,https://www.xscores.com/soccer/match/queens-park-rangers-vs-hull/16-08-2014/1503181
2014/2015,2014-08-16T15:00:00,Stoke,Aston Villa,https://www.xscores.com/soccer/match/stoke-vs-aston-villa/16-08-2014/1503182
2014/2015,2014-08-16T15:00:00,West Bromwich,Sunderland,https://www.xscores.com/soccer/match/west-bromwich-vs-sunderland/16-08-2014/1503183
2014/2015,2014-08-16T15:00:00,West Ham,Tottenham,https://www.xscores.com/soccer/match/west-ham-vs-tottenham/16-08-2014/1503184
2014/2015,2014-08-16T17:30:00,Arsenal,Crystal Palace,https://www.xscores.com/soccer/match/arsenal-vs-crystal-palace/16-08-2014/1503175
2014/2015,2014-08-17T13:30:00,Liverpool,Southampton,https://www.xscores.com/soccer/match/liverpool-vs-southampton/17-08-2014/1503178
2014/2015,2014-08-17T16:00:00,Newcastle,Manchester City,https://www.xscores.com/soccer/match/newcastle-vs-manchester-city/17-08-2014/1503180
2014/2015,2014-08-18T20:00:00,Burnley,Chelsea,https://www.xscores.com/soccer/match/burnley-vs-chelsea/18-08-2014/1503176
2014/2015,2014-08-23T12:45:00,Aston Villa,Newcastle,https://www.xscores.com/soccer/match/aston-villa-vs-newcastle/23-08-2014/1503185
2014/2015,2014-08-23T15:00:00,Chelsea,Leicester,https://www.xscores.com/soccer/match/chelsea-vs-leicester/23-08-2014/1503186
2014/2015,2014-08-23T15:00:00,Crystal Palace,West Ham,https://www.xscores.com/soccer/match/crystal-palace-vs-west-ham/23-08-2014/1503187
2014/2015,2014-08-23T15:00:00,Southampton,West Bromwich,https://www.xscores.com/soccer/match/southampton-vs-west-bromwich/23-08-2014/1503191
2014/2015,2014-08-23T15:00:00,Swansea,Burnley,https://www.xscores.com/soccer/match/swansea-vs-burnley/23-08-2014/1503193
2014/2015,2014-08-23T17:30:00,Everton,Arsenal,https://www.xscores.com/soccer/match/everton-vs-arsenal/23-08-2014/1503188
2014/2015,2014-08-24T13:30:00,Hull,Stoke,https://www.xscores.com/soccer/match/hull-vs-stoke/24-08-2014/1503189
2014/2015,2014-08-24T13:30:00,Tottenham,Queens Park Rangers,https://www.xscores.com/soccer/match/tottenham-vs-queens-park-rangers/24-08-2014/1503194
2014/2015,2014-08-24T16:00:00,Sunderland,Manchester United,https://www.xscores.com/soccer/match/sunderland-vs-manchester-united/24-08-2014/1503192
2014/2015,2014-08-25T20:00:00,Manchester City,Liverpool,https://www.xscores.com/soccer/match/manchester-city-vs-liverpool/25-08-2014/1503190
2014/2015,2014-08-30T12:45:00,Burnley,Manchester United,https://www.xscores.com/soccer/match/burnley-vs-manchester-united/30-08-2014/1503196
2014/2015,2014-08-30T15:00:00,Manchester City,Stoke,https://www.xscores.com/soccer/match/manchester-city-vs-stoke/30-08-2014/1503199
2014/2015,2014-08-30T15:00:00,Newcastle,Crystal Palace,https://www.xscores.com/soccer/match/newcastle-vs-crystal-palace/30-08-2014/1503200
2014/2015,2014-08-30T15:00:00,Queens Park Rangers,Sunderland,https://www.xscores.com/soccer/match/queens-park-rangers-vs-sunderland/30-08-2014/1503201
2014/2015,2014-08-30T15:00:00,Swansea,West Bromwich,https://www.xscores.com/soccer/match/swansea-vs-west-bromwich/30-08-2014/1503202
2014/2015,2014-08-30T15:00:00,West Ham,Southampton,https://www.xscores.com/soccer/match/west-ham-vs-southampton/30-08-2014/1503204
