season,date,home_team,away_team,url
2013/2014,2013-08-17T12:45:00,Liverpool,Stoke,https://www.xscores.com/soccer/match/liverpool-vs-stoke/17-08-2013/1497671
2013/2014,2013-08-17T15:00:00,Arsenal,Aston Villa,https://www.xscores.com/soccer/match/arsenal-vs-aston-villa/17-08-2013/1497668
2013/2014,2013-08-17T15:00:00,Norwich,Everton,https://www.xscores.com/soccer/match/norwich-vs-everton/17-08-2013/1497673
2013/2014,2013-08-17T15:00:00,Sunderland,Fulham,https://www.xscores.com/soccer/match/sunderland-vs-fulham/17-08-2013/1497674
2013/2014,2013-08-17T15:00:00,West Bromwich,Southampton,https://www.xscores.com/soccer/match/west-bromwich-vs-southampton/17-08-2013/1497676
2013/2014,2013-08-17T15:00:00,West Ham,Cardiff,https://www.xscores.com/soccer/match/west-ham-vs-cardiff/17-08-2013/1497677
2013/2014,2013-08-17T17:30:00,Swansea,Manchester United,https://www.xscores.com/soccer/match/swansea-vs-manchester-united/17-08-2013/1497675
2013/2014,2013-08-18T13:30:00,Crystal Palace,Tottenham,https://www.xscores.com/soccer/match/crystal-palace-vs-tottenham/18-08-2013/1497670
2013/2014,2013-08-18T16:00:00,Chelsea,Hull,https://www.xscores.com/soccer/match/chelsea-vs-hull/18-08-2013/1497669
2013/2014,2013-08-19T20:00:00,Manchester City,Newcastle,https://www.xscores.com/soccer/match/manchester-city-vs-newcastle/19-08-2013/1497672
2013/2014,2013-08-24T12:45:00,Fulham,Arsenal,https://www.xscores.com/soccer/match/fulham-vs-arsenal/24-08-2013/1497681
2013/2014,2013-08-24T15:00:00,Everton,West Bromwich,https://www.xscores.com/soccer/match/everton-vs-west-bromwich/24-08-2013/1497680
2013/2014,2013-08-24T15:00:00,Hull,Norwich,https://www.xscores.com/soccer/match/hull-vs-norwich/24-08-2013/1497682
2013/2014,2013-08-24T15:00:00,Newcastle,West Ham,https://www.xscores.com/soccer/match/newcastle-vs-west-ham/24-08-2013/1497684
2013/2014,2013-08-24T15:00:00,Southampton,Sunderland,https://www.xscores.com/soccer/match/southampton-vs-sunderland/24-08-2013/1497685
2013/2014,2013-08-24T15:00:00,Stoke,Crystal Palace,https://www.xscores.com/soccer/match/stoke-vs-crystal-palace/24-08-2013/1497686
2013/2014,2013-08-24T17:30:00,Aston Villa,Liverpool,https://www.xscores.com/soccer/match/aston-villa-vs-liverpool/24-08-2013/1497678
2013/2014,2013-08-25T16:00:00,Cardiff,Manchester City,https://www.xscores.com/soccer/match/cardiff-vs-manchester-city/25-08-2013/1497679
2013/2014,2013-08-25T16:00:00,Tottenham,Swansea,https://www.xscores.com/soccer/match/tottenham-vs-swansea/25-08-2013/1497687
2013/2014,2013-08-26T20:00:00,Manchester United,Chelsea,https://www.xscores.com/soccer/match/manchester-united-vs-chelsea/26-08-2013/1497683
2013/2014,2013-08-21T19:45:00,Chelsea,Aston Villa,https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/21-08-2013/1497690
2013/2014,2013-08-31T12:45:00,Manchester City,Hull,https://www.xscores.com/soccer/match/manchester-city-vs-hull/31-08-2013/1497693
2013/2014,2013-08-31T15:00:00,Cardiff,Everton,https://www.xscores.com/soccer/match/cardiff-vs-everton/31-08-2013/1497689
2013/2014,2013-08-31T15:00:00,Newcastle,Fulham,https://www.xscores.com/soccer/match/newcastle-vs-fulham/31-08-2013/1497694
2013/2014,2013-08-31T15:00:00,Norwich,Southampton,https://www.xscores.com/soccer/match/norwich-vs-southampton/31-08-2013/1497695
2013/2014,2013-08-31T15:00:00,West Ham,Stoke,https://www.xscores.com/soccer/match/west-ham-vs-stoke/31-08-2013/1497697
2013/2014,2013-08-31T17:30:00,Crystal Palace,Sunderland,https://www.xscores.com/soccer/match/crystal-palace-vs-sunderland/31-08-2013/1497691
2013/2014,2013-09-01T13:30:00,Liverpool,Manchester United,https://www.xscores.com/soccer/match/liverpool-vs-manchester-united/01-09-2013/1497692
2013/2014,2013-09-01T13:30:00,West Bromwich,Swansea,https://www.xscores.com/soccer/match/west-bromwich-vs-swansea/01-09-2013/1497696
2013/2014,2013-09-01T16:00:00,Arsenal,Tottenham,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/01-09-2013/1497688
2013/2014,2013-09-14T12:45:00,Manchester United,Crystal Palace,https://www.xscores.com/soccer/match/manchester-united-vs-crystal-palace/14-09-2013/1497702
2013/2014,2013-09-14T15:00:00,Aston Villa,Newcastle,https://www.xscores.com/soccer/match/aston-villa-vs-newcastle/14-09-2013/1497698
