season,date,home_team,away_team,url
2015/2016,2015-08-08T12:45:00,Manchester United,Tottenham,https://www.xscores.com/soccer/match/manchester-united-vs-tottenham/08-08-2015/1458424
2015/2016,2015-08-08T15:00:00,Bournemouth,Aston Villa,https://www.xscores.com/soccer/match/bournemouth-vs-aston-villa/08-08-2015/1458415
2015/2016,2015-08-08T15:00:00,Everton,Watford,https://www.xscores.com/soccer/match/everton-vs-watford/08-08-2015/1458419
2015/2016,2015-08-08T15:00:00,Leicester,Sunderland,https://www.xscores.com/soccer/match/leicester-vs-sunderland/08-08-2015/1458421
2015/2016,2015-08-08T15:00:00,Norwich,Crystal Palace,https://www.xscores.com/soccer/match/norwich-vs-crystal-palace/08-08-2015/1458427
2015/2016,2015-08-08T17:30:00,Chelsea,Swansea,https://www.xscores.com/soccer/match/chelsea-vs-swansea/08-08-2015/1458417
2015/2016,2015-08-09T13:30:00,Arsenal,West Ham,https://www.xscores.com/soccer/match/arsenal-vs-west-ham/09-08-2015/1458413
2015/2016,2015-08-09T13:30:00,Newcastle,Southampton,https://www.xscores.com/soccer/match/newcastle-vs-southampton/09-08-2015/1458425
2015/2016,2015-08-09T16:00:00,Stoke,Liverpool,https://www.xscores.com/soccer/match/stoke-vs-liverpool/09-08-2015/1458429
2015/2016,2015-08-10T20:00:00,West Bromwich,Manchester City,https://www.xscores.com/soccer/match/west-bromwich-vs-manchester-city/10-08-2015/1458431
2015/2016,2015-08-14T19:45:00,Aston Villa,Manchester United,https://www.xscores.com/soccer/match/aston-villa-vs-manchester-united/14-08-2015/1458432
2015/2016,2015-08-15T12:45:00,Southampton,Everton,https://www.xscores.com/soccer/match/southampton-vs-everton/15-08-2015/1458444
2015/2016,2015-08-15T15:00:00,Sunderland,Norwich,https://www.xscores.com/soccer/match/sunderland-vs-norwich/15-08-2015/1458447
2015/2016,2015-08-15T15:00:00,Swansea,Newcastle,https://www.xscores.com/soccer/match/swansea-vs-newcastle/15-08-2015/1458449
2015/2016,2015-08-15T15:00:00,Tottenham,Stoke,https://www.xscores.com/soccer/match/tottenham-vs-stoke/15-08-2015/1458446
2015/2016,2015-08-15T15:00:00,Watford,West Bromwich,https://www.xscores.com/soccer/match/watford-vs-west-bromwich/15-08-2015/1458450
2015/2016,2015-08-15T15:00:00,West Ham,Leicester,https://www.xscores.com/soccer/match/west-ham-vs-leicester/15-08-2015/1458451
2015/2016,2015-08-16T13:30:00,Crystal Palace,Arsenal,https://www.xscores.com/soccer/match/crystal-palace-vs-arsenal/16-08-2015/1458436
2015/2016,2015-08-16T16:00:00,Manchester City,Chelsea,https://www.xscores.com/soccer/match/manchester-city-vs-chelsea/16-08-2015/1458443
