season,date,home_team,away_team,url
2011/2012,2011-08-13T15:00:00,Blackburn,Wolverhampton,https://www.xscores.com/soccer/match/blackburn-vs-wolverhampton/13-08-2011/1550857
2011/2012,2011-08-13T15:00:00,Fulham,Aston Villa,https://www.xscores.com/soccer/match/fulham-vs-aston-villa/13-08-2011/1550858
2011/2012,2011-08-13T15:00:00,Liverpool,Sunderland,https://www.xscores.com/soccer/match/liverpool-vs-sunderland/13-08-2011/1550859
2011/2012,2011-08-13T15:00:00,Queens Park Rangers,Bolton,https://www.xscores.com/soccer/match/queens-park-rangers-vs-bolton/13-08-2011/1550862
2011/2012,2011-08-13T15:00:00,Wigan,Norwich,https://www.xscores.com/soccer/match/wigan-vs-norwich/13-08-2011/1550866
2011/2012,2011-08-13T17:30:00,Newcastle,Arsenal,https://www.xscores.com/soccer/match/newcastle-vs-arsenal/13-08-2011/1550861
2011/2012,2011-08-14T13:30:00,Stoke,Chelsea,https://www.xscores.com/soccer/match/stoke-vs-chelsea/14-08-2011/1550863
2011/2012,2011-08-14T16:00:00,West Bromwich,Manchester United,https://www.xscores.com/soccer/match/west-bromwich-vs-manchester-united/14-08-2011/1550865
2011/2012,2011-08-15T20:00:00,Manchester City,Swansea,https://www.xscores.com/soccer/match/manchester-city-vs-swansea/15-08-2011/1550860
2011/2012,2012-01-11T19:45:00,Tottenham,Everton,https://www.xscores.com/soccer/match/tottenham-vs-everton/11-01-2012/1550864
2011/2012,2011-08-20T12:00:00,Sunderland,Newcastle,https://www.xscores.com/soccer/match/sunderland-vs-newcastle/20-08-2011/1550874
2011/2012,2011-08-20T12:45:00,Arsenal,Liverpool,https://www.xscores.com/soccer/match/arsenal-vs-liverpool/20-08-2011/1550867
2011/2012,2011-08-20T15:00:00,Aston Villa,Blackburn,https://www.xscores.com/soccer/match/aston-villa-vs-blackburn/20-08-2011/1550868
2011/2012,2011-08-20T15:00:00,Everton,Queens Park Rangers,https://www.xscores.com/soccer/match/everton-vs-queens-park-rangers/20-08-2011/1550871
2011/2012,2011-08-20T15:00:00,Swansea,Wigan,https://www.xscores.com/soccer/match/swansea-vs-wigan/20-08-2011/1550875
2011/2012,2011-08-20T17:30:00,Chelsea,West Bromwich,https://www.xscores.com/soccer/match/chelsea-vs-west-bromwich/20-08-2011/1550870
2011/2012,2011-08-21T13:30:00,Norwich,Stoke,https://www.xscores.com/soccer/match/norwich-vs-stoke/21-08-2011/1550873
2011/2012,2011-08-21T14:00:00,Wolverhampton,Fulham,https://www.xscores.com/soccer/match/wolverhampton-vs-fulham/21-08-2011/1550876
2011/2012,2011-08-21T16:00:00,Bolton,Manchester City,https://www.xscores.com/soccer/match/bolton-vs-manchester-city/21-08-2011/1550869
2011/2012,2011-08-22T20:00:00,Manchester United,Tottenham,https://www.xscores.com/soccer/match/manchester-united-vs-tottenham/22-08-2011/1550872
2011/2012,2011-08-27T12:05:00,Aston Villa,Wolverhampton,https://www.xscores.com/soccer/match/aston-villa-vs-wolverhampton/27-08-2011/1550877
2011/2012,2011-08-27T12:30:00,Wigan,Queens Park Rangers,https://www.xscores.com/soccer/match/wigan-vs-queens-park-rangers/27-08-2011/1550886
2011/2012,2011-08-27T15:00:00,Blackburn,Everton,https://www.xscores.com/soccer/match/blackburn-vs-everton/27-08-2011/1550878
2011/2012,2011-08-27T15:00:00,Chelsea,Norwich,https://www.xscores.com/soccer/match/chelsea-vs-norwich/27-08-2011/1550879
2011/2012,2011-08-27T15:00:00,Swansea,Sunderland,https://www.xscores.com/soccer/match/swansea-vs-sunderland/27-08-2011/1550883
