season,date,home_team,away_team,url
2005/2006,2005-08-13T12:45:00,Everton,Manchester United,https://www.xscores.com/soccer/match/everton-vs-manchester-united/13-08-2005/1530404
2005/2006,2005-08-13T15:00:00,Aston Villa,Bolton,https://www.xscores.com/soccer/match/aston-villa-vs-bolton/13-08-2005/1530403
2005/2006,2005-08-13T15:00:00,Fulham,Birmingham,https://www.xscores.com/soccer/match/fulham-vs-birmingham/13-08-2005/1530405
2005/2006,2005-08-13T15:00:00,Manchester City,West Bromwich,https://www.xscores.com/soccer/match/manchester-city-vs-west-bromwich/13-08-2005/1530406
2005/2006,2005-08-13T15:00:00,Portsmouth,Tottenham,https://www.xscores.com/soccer/match/portsmouth-vs-tottenham/13-08-2005/1530408
2005/2006,2005-08-13T15:00:00,Sunderland,Charlton,https://www.xscores.com/soccer/match/sunderland-vs-charlton/13-08-2005/1530409
2005/2006,2005-08-13T15:00:00,West Ham,Blackburn,https://www.xscores.com/soccer/match/west-ham-vs-blackburn/13-08-2005/1530410
2005/2006,2005-08-13T17:15:00,Middlesbrough,Liverpool,https://www.xscores.com/soccer/match/middlesbrough-vs-liverpool/13-08-2005/1530407
2005/2006,2005-08-14T13:30:00,Arsenal,Newcastle,https://www.xscores.com/soccer/match/arsenal-vs-newcastle/14-08-2005/1530402
2005/2006,2005-08-14T16:00:00,Wigan,Chelsea,https://www.xscores.com/soccer/match/wigan-vs-chelsea/14-08-2005/1530411
2005/2006,2005-08-20T12:45:00,Manchester United,Aston Villa,https://www.xscores.com/soccer/match/manchester-united-vs-aston-villa/20-08-2005/1530454
2005/2006,2005-08-20T15:00:00,Blackburn,Fulham,https://www.xscores.com/soccer/match/blackburn-vs-fulham/20-08-2005/1530449
2005/2006,2005-08-20T15:00:00,Charlton,Wigan,https://www.xscores.com/soccer/match/charlton-vs-wigan/20-08-2005/1530451
2005/2006,2005-08-20T15:00:00,Newcastle,West Ham,https://www.xscores.com/soccer/match/newcastle-vs-west-ham/20-08-2005/1530455
2005/2006,2005-08-20T15:00:00,Tottenham,Middlesbrough,https://www.xscores.com/soccer/match/tottenham-vs-middlesbrough/20-08-2005/1530456
2005/2006,2005-08-20T15:00:00,West Bromwich,Portsmouth,https://www.xscores.com/soccer/match/west-bromwich-vs-portsmouth/20-08-2005/1530457
2005/2006,2005-08-20T15:15:00,Liverpool,Sunderland,https://www.xscores.com/soccer/match/liverpool-vs-sunderland/20-08-2005/1530453
2005/2006,2005-08-20T17:15:00,Birmingham,Manchester City,https://www.xscores.com/soccer/match/birmingham-vs-manchester-city/20-08-2005/1530448
2005/2006,2005-08-21T13:30:00,Bolton,Everton,https://www.xscores.com/soccer/match/bolton-vs-everton/21-08-2005/1530450
2005/2006,2005-08-21T16:00:00,Chelsea,Arsenal,https://www.xscores.com/soccer/match/chelsea-vs-arsenal/21-08-2005/1530452
2005/2006,2005-08-23T19:45:00,Birmingham,Middlesbrough,https://www.xscores.com/soccer/match/birmingham-vs-middlesbrough/23-08-2005/1530459
2005/2006,2005-08-23T19:45:00,Portsmouth,Aston Villa,https://www.xscores.com/soccer/match/portsmouth-vs-aston-villa/23-08-2005/1530462
2005/2006,2005-08-23T19:45:00,Sunderland,Manchester City,https://www.xscores.com/soccer/match/sunderland-vs-manchester-city/23-08-2005/1530463
2005/2006,2005-08-24T19:45:00,Arsenal,Fulham,https://www.xscores.com/soccer/match/arsenal-vs-fulham/24-08-2005/1530458
