season,date,home_team,away_team,url
1996/1997,1996-09-07T01:00:00,Middlesbrough,Coventry,https://www.xscores.com/soccer/match/middlesbrough-vs-coventry/07-09-1996/1596786
1996/1997,1996-09-07T01:00:00,Nottingham Forest,Leicester,https://www.xscores.com/soccer/match/nottingham-forest-vs-leicester/07-09-1996/1596787
1996/1997,1996-09-07T01:00:00,Sheffield Wednesday,Chelsea,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-chelsea/07-09-1996/1596788
1996/1997,1996-09-07T01:00:00,Tottenham,Newcastle,https://www.xscores.com/soccer/match/tottenham-vs-newcastle/07-09-1996/1596789
1996/1997,1996-09-08T01:00:00,Sunderland,West Ham,https://www.xscores.com/soccer/match/sunderland-vs-west-ham/08-09-1996/1596791
1996/1997,1996-09-09T01:00:00,Blackburn,Derby,https://www.xscores.com/soccer/match/blackburn-vs-derby/09-09-1996/1596792
1996/1997,1996-09-14T01:00:00,Coventry,Leeds,https://www.xscores.com/soccer/match/coventry-vs-leeds/14-09-1996/1596793
1996/1997,1996-09-14T01:00:00,Derby,Sunderland,https://www.xscores.com/soccer/match/derby-vs-sunderland/14-09-1996/1596794
1996/1997,1996-09-14T01:00:00,Everton,Middlesbrough,https://www.xscores.com/soccer/match/everton-vs-middlesbrough/14-09-1996/1596795
1996/1997,1996-09-14T01:00:00,Manchester United,Nottingham Forest,https://www.xscores.com/soccer/match/manchester-united-vs-nottingham-forest/14-09-1996/1596796
1996/1997,1996-09-14T01:00:00,Newcastle,Blackburn,https://www.xscores.com/soccer/match/newcastle-vs-blackburn/14-09-1996/1596797
1996/1997,1996-09-14T01:00:00,Southampton,Tottenham,https://www.xscores.com/soccer/match/southampton-vs-tottenham/14-09-1996/1596798
1996/1997,1996-09-14T01:00:00,West Ham,AFC Wimbledon,https://www.xscores.com/soccer/match/west-ham-vs-afc-wimbledon/14-09-1996/1596799
1996/1997,1996-09-15T01:00:00,Chelsea,Aston Villa,https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/15-09-1996/1596800
1996/1997,1996-09-15T01:00:00,Leicester,Liverpool,https://www.xscores.com/soccer/match/leicester-vs-liverpool/15-09-1996/1596801
1996/1997,1996-09-16T01:00:00,Arsenal,Sheffield Wednesday,https://www.xscores.com/soccer/match/arsenal-vs-sheffield-wednesday/16-09-1996/1596802
1996/1997,1996-09-21T01:00:00,Aston Villa,Manchester United,https://www.xscores.com/soccer/match/aston-villa-vs-manchester-united/21-09-1996/1596803
