season,date,home_team,away_team,url
2008/2009,2008-08-16T12:45:00,Arsenal,West Bromwich,https://www.xscores.com/soccer/match/arsenal-vs-west-bromwich/16-08-2008/1539307
2008/2009,2008-08-16T15:00:00,Bolton,Stoke,https://www.xscores.com/soccer/match/bolton-vs-stoke/16-08-2008/1539309
2008/2009,2008-08-16T15:00:00,Everton,Blackburn,https://www.xscores.com/soccer/match/everton-vs-blackburn/16-08-2008/1539311
2008/2009,2008-08-16T15:00:00,Hull,Fulham,https://www.xscores.com/soccer/match/hull-vs-fulham/16-08-2008/1539312
2008/2009,2008-08-16T15:00:00,Middlesbrough,Tottenham,https://www.xscores.com/soccer/match/middlesbrough-vs-tottenham/16-08-2008/1539314
2008/2009,2008-08-16T15:00:00,West Ham,Wigan,https://www.xscores.com/soccer/match/west-ham-vs-wigan/16-08-2008/1539316
2008/2009,2008-08-16T17:30:00,Sunderland,Liverpool,https://www.xscores.com/soccer/match/sunderland-vs-liverpool/16-08-2008/1539315
2008/2009,2008-08-17T13:30:00,Chelsea,Portsmouth,https://www.xscores.com/soccer/match/chelsea-vs-portsmouth/17-08-2008/1539310
2008/2009,2008-08-17T15:00:00,Aston Villa,Manchester City,https://www.xscores.com/soccer/match/aston-villa-vs-manchester-city/17-08-2008/1539308
2008/2009,2008-08-17T16:00:00,Manchester United,Newcastle,https://www.xscores.com/soccer/match/manchester-united-vs-newcastle/17-08-2008/1539313
2008/2009,2008-08-23T15:00:00,Blackburn,Hull,https://www.xscores.com/soccer/match/blackburn-vs-hull/23-08-2008/1539317
2008/2009,2008-08-23T15:00:00,Liverpool,Middlesbrough,https://www.xscores.com/soccer/match/liverpool-vs-middlesbrough/23-08-2008/1539319
2008/2009,2008-08-23T15:00:00,Newcastle,Bolton,https://www.xscores.com/soccer/match/newcastle-vs-bolton/23-08-2008/1539321
2008/2009,2008-08-23T15:00:00,Stoke,Aston Villa,https://www.xscores.com/soccer/match/stoke-vs-aston-villa/23-08-2008/1539323
2008/2009,2008-08-23T15:00:00,Tottenham,Sunderland,https://www.xscores.com/soccer/match/tottenham-vs-sunderland/23-08-2008/1539324
2008/2009,2008-08-23T15:00:00,West Bromwich,Everton,https://www.xscores.com/soccer/match/west-bromwich-vs-everton/23-08-2008/1539325
2008/2009,2008-08-23T17:30:00,Fulham,Arsenal,https://www.xscores.com/soccer/match/fulham-vs-arsenal/23-08-2008/1539318
2008/2009,2008-08-24T13:30:00,Wigan,Chelsea,https://www.xscores.com/soccer/match/wigan-vs-chelsea/24-08-2008/1539326
2008/2009,2008-08-24T16:00:00,Manchester City,West Ham,https://www.xscores.com/soccer/match/manchester-city-vs-west-ham/24-08-2008/1539320
2008/2009,2008-08-25T20:00:00,Portsmouth,Manchester United,https://www.xscores.com/soccer/match/portsmouth-vs-manchester-united/25-08-2008/1539322
2008/2009,2008-08-30T15:00:00,Bolton,West Bromwich,https://www.xscores.com/soccer/match/bolton-vs-west-bromwich/30-08-2008/1539329
2008/2009,2008-08-30T15:00:00,Everton,Portsmouth,https://www.xscores.com/soccer/match/everton-vs-portsmouth/30-08-2008/1539331
2008/2009,2008-08-30T15:00:00,Hull,Wigan,https://www.xscores.com/soccer/match/hull-vs-wigan/30-08-2008/1539332
2008/2009,2008-08-30T15:00:00,Middlesbrough,Stoke,https://www.xscores.com/soccer/match/middlesbrough-vs-stoke/30-08-2008/1539333
2008/2009,2008-08-30T15:00:00,West Ham,Blackburn,https://www.xscores.com/soccer/match/west-ham-vs-blackburn/30-08-2008/1539335
