season,date,home_team,away_team,url
2019/2020,2019-08-09T20:00:00,Liverpool,Norwich,https://www.xscores.com/soccer/match/liverpool-vs-norwich/09-08-2019/17801
2019/2020,2019-08-10T12:30:00,West Ham,Manchester City,https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/10-08-2019/17802
2019/2020,2019-08-10T15:00:00,Bournemouth,Sheffield United,https://www.xscores.com/soccer/match/bournemouth-vs-sheffield-united/10-08-2019/17803
2019/2020,2019-08-10T15:00:00,Burnley,Southampton,https://www.xscores.com/soccer/match/burnley-vs-southampton/10-08-2019/17804
2019/2020,2019-08-10T15:00:00,Crystal Palace,Everton,https://www.xscores.com/soccer/match/crystal-palace-vs-everton/10-08-2019/17805
2019/2020,2019-08-10T15:00:00,Watford,Brighton,https://www.xscores.com/soccer/match/watford-vs-brighton/10-08-2019/17807
2019/2020,2019-08-10T17:30:00,Tottenham,Aston Villa,https://www.xscores.com/soccer/match/tottenham-vs-aston-villa/10-08-2019/17808
2019/2020,2019-08-11T14:00:00,Leicester,Wolverhampton,https://www.xscores.com/soccer/match/leicester-vs-wolverhampton/11-08-2019/17806
2019/2020,2019-08-11T14:00:00,Newcastle,Arsenal,https://www.xscores.com/soccer/match/newcastle-vs-arsenal/11-08-2019/17809
2019/2020,2019-08-11T16:30:00,Manchester United,Chelsea,https://www.xscores.com/soccer/match/manchester-united-vs-chelsea/11-08-2019/17810
2019/2020,2019-08-17T12:30:00,Arsenal,Burnley,https://www.xscores.com/soccer/match/arsenal-vs-burnley/17-08-2019/17811
2019/2020,2019-08-17T15:00:00,Aston Villa,Bournemouth,https://www.xscores.com/soccer/match/aston-villa-vs-bournemouth/17-08-2019/17812
2019/2020,2019-08-17T15:00:00,Brighton,West Ham,https://www.xscores.com/soccer/match/brighton-vs-west-ham/17-08-2019/17813
2019/2020,2019-08-17T15:00:00,Everton,Watford,https://www.xscores.com/soccer/match/everton-vs-watford/17-08-2019/17815
2019/2020,2019-08-17T15:00:00,Norwich,Newcastle,https://www.xscores.com/soccer/match/norwich-vs-newcastle/17-08-2019/17817
2019/2020,2019-08-17T15:00:00,Southampton,Liverpool,https://www.xscores.com/soccer/match/southampton-vs-liverpool/17-08-2019/17819
2019/2020,2019-08-17T17:30:00,Manchester City,Tottenham,https://www.xscores.com/soccer/match/manchester-city-vs-tottenham/17-08-2019/17816
2019/2020,2019-08-18T14:00:00,Sheffield United,Crystal Palace,https://www.xscores.com/soccer/match/sheffield-united-vs-crystal-palace/18-08-2019/17818
2019/2020,2019-08-18T16:30:00,Chelsea,Leicester,https://www.xscores.com/soccer/match/chelsea-vs-leicester/18-08-2019/17814
2019/2020,2019-08-19T20:00:00,Wolverhampton,Manchester United,https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-united/19-08-2019/17820
2019/2020,2019-08-23T20:00:00,Aston Villa,Everton,https://www.xscores.com/soccer/match/aston-villa-vs-everton/23-08-2019/17821
2019/2020,2019-08-24T12:30:00,Norwich,Chelsea,https://www.xscores.com/soccer/match/norwich-vs-chelsea/24-08-2019/17826
2019/2020,2019-08-24T15:00:00,Brighton,Southampton,https://www.xscores.com/soccer/match/brighton-vs-southampton/24-08-2019/17823
2019/2020,2019-08-24T15:00:00,Manchester United,Crystal Palace,https://www.xscores.com/soccer/match/manchester-united-vs-crystal-palace/24-08-2019/17825
2019/2020,2019-08-24T15:00:00,Sheffield United,Leicester,https://www.xscores.com/soccer/match/sheffield-united-vs-leicester/24-08-2019/17827
2019/2020,2019-08-24T15:00:00,Watford,West Ham,https://www.xscores.com/soccer/match/watford-vs-west-ham/24-08-2019/17829
2019/2020,2019-08-24T17:30:00,Liverpool,Arsenal,https://www.xscores.com/soccer/match/liverpool-vs-arsenal/24-08-2019/17824
2019/2020,2019-08-25T14:00:00,Bournemouth,Manchester City,https://www.xscores.com/soccer/match/bournemouth-vs-manchester-city/25-08-2019/17822
2019/2020,2019-08-25T16:30:00,Tottenham,Newcastle,https://www.xscores.com/soccer/match/tottenham-vs-newcastle/25-08-2019/17828
2019/2020,2019-08-25T16:30:00,Wolverhampton,Burnley,https://www.xscores.com/soccer/match/wolverhampton-vs-burnley/25-08-2019/17830
2019/2020,2019-08-31T12:30:00,Southampton,Manchester United,https://www.xscores.com/soccer/match/southampton-vs-manchester-united/31-08-2019/17839
2019/2020,2019-08-31T15:00:00,Chelsea,Sheffield United,https://www.xscores.com/soccer/match/chelsea-vs-sheffield-united/31-08-2019/17833
2019/2020,2019-08-31T15:00:00,Crystal Palace,Aston Villa,https://www.xscores.com/soccer/match/crystal-palace-vs-aston-villa/31-08-2019/17834
2019/2020,2019-08-31T15:00:00,Leicester,Bournemouth,https://www.xscores.com/soccer/match/leicester-vs-bournemouth/31-08-2019/17836
2019/2020,2019-08-31T15:00:00,Manchester City,Brighton,https://www.xscores.com/soccer/match/manchester-city-vs-brighton/31-08-2019/17837
2019/2020,2019-08-31T15:00:00,Newcastle,Watford,https://www.xscores.com/soccer/match/newcastle-vs-watford/31-08-2019/17838
2019/2020,2019-08-31T15:00:00,West Ham,Norwich,https://www.xscores.com/soccer/match/west-ham-vs-norwich/31-08-2019/17840
2019/2020,2019-08-31T17:30:00,Burnley,Liverpool,https://www.xscores.com/soccer/match/burnley-vs-liverpool/31-08-2019/17832
2019/2020,2019-09-01T14:00:00,Everton,Wolverhampton,https://www.xscores.com/soccer/match/everton-vs-wolverhampton/01-09-2019/17835
2019/2020,2019-09-01T16:30:00,Arsenal,Tottenham,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/01-09-2019/17831
2019/2020,2019-09-14T12:30:00,Liverpool,Newcastle,https://www.xscores.com/soccer/match/liverpool-vs-newcastle/14-09-2019/17844
2019/2020,2019-09-14T15:00:00,Brighton,Burnley,https://www.xscores.com/soccer/match/brighton-vs-burnley/14-09-2019/17843
2019/2020,2019-09-14T15:00:00,Manchester United,Leicester,https://www.xscores.com/soccer/match/manchester-united-vs-leicester/14-09-2019/17845
2019/2020,2019-09-14T15:00:00,Sheffield United,Southampton,https://www.xscores.com/soccer/match/sheffield-united-vs-southampton/14-09-2019/17847
2019/2020,2019-09-14T15:00:00,Tottenham,Crystal Palace,https://www.xscores.com/soccer/match/tottenham-vs-crystal-palace/14-09-2019/17848
2019/2020,2019-09-14T15:00:00,Wolverhampton,Chelsea,https://www.xscores.com/soccer/match/wolverhampton-vs-chelsea/14-09-2019/17850
2019/2020,2019-09-14T17:30:00,Norwich,Manchester City,https://www.xscores.com/soccer/match/norwich-vs-manchester-city/14-09-2019/17846
2019/2020,2019-09-15T14:00:00,Bournemouth,Everton,https://www.xscores.com/soccer/match/bournemouth-vs-everton/15-09-2019/17842
2019/2020,2019-09-15T16:30:00,Watford,Arsenal,https://www.xscores.com/soccer/match/watford-vs-arsenal/15-09-2019/17849
2019/2020,2019-09-16T20:00:00,Aston Villa,West Ham,https://www.xscores.com/soccer/match/aston-villa-vs-west-ham/16-09-2019/17841
2019/2020,2019-09-20T20:00:00,Southampton,Bournemouth,https://www.xscores.com/soccer/match/southampton-vs-bournemouth/20-09-2019/17859
2019/2020,2019-09-21T12:30:00,Leicester,Tottenham,https://www.xscores.com/soccer/match/leicester-vs-tottenham/21-09-2019/17856
2019/2020,2019-09-21T15:00:00,Burnley,Norwich,https://www.xscores.com/soccer/match/burnley-vs-norwich/21-09-2019/17852
2019/2020,2019-09-21T15:00:00,Everton,Sheffield United,https://www.xscores.com/soccer/match/everton-vs-sheffield-united/21-09-2019/17855
2019/2020,2019-09-21T15:00:00,Manchester City,Watford,https://www.xscores.com/soccer/match/manchester-city-vs-watford/21-09-2019/17857
2019/2020,2019-09-21T17:30:00,Newcastle,Brighton,https://www.xscores.com/soccer/match/newcastle-vs-brighton/21-09-2019/17858
2019/2020,2019-09-22T14:00:00,Crystal Palace,Wolverhampton,https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/22-09-2019/17854
2019/2020,2019-09-22T14:00:00,West Ham,Manchester United,https://www.xscores.com/soccer/match/west-ham-vs-manchester-united/22-09-2019/17860
2019/2020,2019-09-22T16:30:00,Arsenal,Aston Villa,https://www.xscores.com/soccer/match/arsenal-vs-aston-villa/22-09-2019/17851
2019/2020,2019-09-22T16:30:00,Chelsea,Liverpool,https://www.xscores.com/soccer/match/chelsea-vs-liverpool/22-09-2019/17853
2019/2020,2019-09-28T12:30:00,Sheffield United,Liverpool,https://www.xscores.com/soccer/match/sheffield-united-vs-liverpool/28-09-2019/17868
2019/2020,2019-09-28T15:00:00,Aston Villa,Burnley,https://www.xscores.com/soccer/match/aston-villa-vs-burnley/28-09-2019/17861
2019/2020,2019-09-28T15:00:00,Bournemouth,West Ham,https://www.xscores.com/soccer/match/bournemouth-vs-west-ham/28-09-2019/17862
2019/2020,2019-09-28T15:00:00,Chelsea,Brighton,https://www.xscores.com/soccer/match/chelsea-vs-brighton/28-09-2019/17863
2019/2020,2019-09-28T15:00:00,Crystal Palace,Norwich,https://www.xscores.com/soccer/match/crystal-palace-vs-norwich/28-09-2019/17864
2019/2020,2019-09-28T15:00:00,Tottenham,Southampton,https://www.xscores.com/soccer/match/tottenham-vs-southampton/28-09-2019/17869
2019/2020,2019-09-28T15:00:00,Wolverhampton,Watford,https://www.xscores.com/soccer/match/wolverhampton-vs-watford/28-09-2019/17870
2019/2020,2019-09-28T17:30:00,Everton,Manchester City,https://www.xscores.com/soccer/match/everton-vs-manchester-city/28-09-2019/17865
2019/2020,2019-09-29T16:30:00,Leicester,Newcastle,https://www.xscores.com/soccer/match/leicester-vs-newcastle/29-09-2019/17866
2019/2020,2019-09-30T20:00:00,Manchester United,Arsenal,https://www.xscores.com/soccer/match/manchester-united-vs-arsenal/30-09-2019/17867
2019/2020,2019-10-05T12:30:00,Brighton,Tottenham,https://www.xscores.com/soccer/match/brighton-vs-tottenham/05-10-2019/17872
