season,date,home_team,away_team,url
2018/2019,2018-08-10T20:00:00,Manchester United,Leicester,https://www.xscores.com/soccer/match/manchester-united-vs-leicester/10-08-2018/498480
2018/2019,2018-08-11T12:30:00,Newcastle,Tottenham,https://www.xscores.com/soccer/match/newcastle-vs-tottenham/11-08-2018/498481
2018/2019,2018-08-11T15:00:00,Bournemouth,Cardiff,https://www.xscores.com/soccer/match/bournemouth-vs-cardiff/11-08-2018/498476
2018/2019,2018-08-11T15:00:00,Fulham,Crystal Palace,https://www.xscores.com/soccer/match/fulham-vs-crystal-palace/11-08-2018/498477
2018/2019,2018-08-11T15:00:00,Huddersfield,Chelsea,https://www.xscores.com/soccer/match/huddersfield-vs-chelsea/11-08-2018/498478
2018/2019,2018-08-11T15:00:00,Watford,Brighton,https://www.xscores.com/soccer/match/watford-vs-brighton/11-08-2018/498483
2018/2019,2018-08-11T17:30:00,Wolverhampton,Everton,https://www.xscores.com/soccer/match/wolverhampton-vs-everton/11-08-2018/498484
2018/2019,2018-08-12T13:30:00,Liverpool,West Ham,https://www.xscores.com/soccer/match/liverpool-vs-west-ham/12-08-2018/498479
2018/2019,2018-08-12T13:30:00,Southampton,Burnley,https://www.xscores.com/soccer/match/southampton-vs-burnley/12-08-2018/498482
2018/2019,2018-08-12T16:00:00,Arsenal,Manchester City,https://www.xscores.com/soccer/match/arsenal-vs-manchester-city/12-08-2018/498475
2018/2019,2018-08-18T12:30:00,Cardiff,Newcastle,https://www.xscores.com/soccer/match/cardiff-vs-newcastle/18-08-2018/498487
2018/2019,2018-08-18T15:00:00,Everton,Southampton,https://www.xscores.com/soccer/match/everton-vs-southampton/18-08-2018/498490
2018/2019,2018-08-18T15:00:00,Leicester,Wolverhampton,https://www.xscores.com/soccer/match/leicester-vs-wolverhampton/18-08-2018/498491
2018/2019,2018-08-18T15:00:00,Tottenham,Fulham,https://www.xscores.com/soccer/match/tottenham-vs-fulham/18-08-2018/498493
2018/2019,2018-08-18T15:00:00,West Ham,Bournemouth,https://www.xscores.com/soccer/match/west-ham-vs-bournemouth/18-08-2018/498494
2018/2019,2018-08-18T17:30:00,Chelsea,Arsenal,https://www.xscores.com/soccer/match/chelsea-vs-arsenal/18-08-2018/498488
2018/2019,2018-08-19T13:30:00,Burnley,Watford,https://www.xscores.com/soccer/match/burnley-vs-watford/19-08-2018/498486
2018/2019,2018-08-19T13:30:00,Manchester City,Huddersfield,https://www.xscores.com/soccer/match/manchester-city-vs-huddersfield/19-08-2018/498492
2018/2019,2018-08-19T16:00:00,Brighton,Manchester United,https://www.xscores.com/soccer/match/brighton-vs-manchester-united/19-08-2018/498485
