season,date,home_team,away_team,url
2003/2004,2003-08-16T13:00:00,Birmingham,Tottenham,https://www.xscores.com/soccer/match/birmingham-vs-tottenham/16-08-2003/1523627
2003/2004,2003-08-16T13:30:00,Portsmouth,Aston Villa,https://www.xscores.com/soccer/match/portsmouth-vs-aston-villa/16-08-2003/1523628
2003/2004,2003-08-16T16:00:00,Arsenal,Everton,https://www.xscores.com/soccer/match/arsenal-vs-everton/16-08-2003/1523632
2003/2004,2003-08-16T16:00:00,Blackburn,Wolverhampton,https://www.xscores.com/soccer/match/blackburn-vs-wolverhampton/16-08-2003/1523629
2003/2004,2003-08-16T16:00:00,Fulham,Middlesbrough,https://www.xscores.com/soccer/match/fulham-vs-middlesbrough/16-08-2003/1523630
2003/2004,2003-08-16T16:00:00,Leicester,Southampton,https://www.xscores.com/soccer/match/leicester-vs-southampton/16-08-2003/1523631
2003/2004,2003-08-16T16:00:00,Manchester United,Bolton,https://www.xscores.com/soccer/match/manchester-united-vs-bolton/16-08-2003/1523633
2003/2004,2003-08-17T15:00:00,Charlton,Manchester City,https://www.xscores.com/soccer/match/charlton-vs-manchester-city/17-08-2003/1523635
2003/2004,2003-08-17T15:00:00,Leeds,Newcastle,https://www.xscores.com/soccer/match/leeds-vs-newcastle/17-08-2003/1523634
2003/2004,2003-08-17T17:05:00,Liverpool,Chelsea,https://www.xscores.com/soccer/match/liverpool-vs-chelsea/17-08-2003/1523636
2003/2004,2003-08-23T13:00:00,Newcastle,Manchester United,https://www.xscores.com/soccer/match/newcastle-vs-manchester-united/23-08-2003/1523637
2003/2004,2003-08-23T16:00:00,Bolton,Blackburn,https://www.xscores.com/soccer/match/bolton-vs-blackburn/23-08-2003/1523641
2003/2004,2003-08-23T16:00:00,Chelsea,Leicester,https://www.xscores.com/soccer/match/chelsea-vs-leicester/23-08-2003/1523642
2003/2004,2003-08-23T16:00:00,Everton,Fulham,https://www.xscores.com/soccer/match/everton-vs-fulham/23-08-2003/1523643
2003/2004,2003-08-23T16:00:00,Manchester City,Portsmouth,https://www.xscores.com/soccer/match/manchester-city-vs-portsmouth/23-08-2003/1523644
2003/2004,2003-08-23T16:00:00,Southampton,Birmingham,https://www.xscores.com/soccer/match/southampton-vs-birmingham/23-08-2003/1523638
2003/2004,2003-08-23T16:00:00,Tottenham,Leeds,https://www.xscores.com/soccer/match/tottenham-vs-leeds/23-08-2003/1523639
2003/2004,2003-08-23T16:00:00,Wolverhampton,Charlton,https://www.xscores.com/soccer/match/wolverhampton-vs-charlton/23-08-2003/1523640
2003/2004,2003-08-24T15:00:00,Aston Villa,Liverpool,https://www.xscores.com/soccer/match/aston-villa-vs-liverpool/24-08-2003/1523645
2003/2004,2003-08-24T17:05:00,Middlesbrough,Arsenal,https://www.xscores.com/soccer/match/middlesbrough-vs-arsenal/24-08-2003/1523646
2003/2004,2003-08-25T21:00:00,Blackburn,Manchester City,https://www.xscores.com/soccer/match/blackburn-vs-manchester-city/25-08-2003/1523647
2003/2004,2003-08-26T20:45:00,Leeds,Southampton,https://www.xscores.com/soccer/match/leeds-vs-southampton/26-08-2003/1523648
2003/2004,2003-08-26T20:45:00,Leicester,Middlesbrough,https://www.xscores.com/soccer/match/leicester-vs-middlesbrough/26-08-2003/1523649
2003/2004,2003-08-26T20:45:00,Portsmouth,Bolton,https://www.xscores.com/soccer/match/portsmouth-vs-bolton/26-08-2003/1523650
2003/2004,2003-08-26T21:00:00,Charlton,Everton,https://www.xscores.com/soccer/match/charlton-vs-everton/26-08-2003/1523651
2003/2004,2003-08-27T20:45:00,Arsenal,Aston Villa,https://www.xscores.com/soccer/match/arsenal-vs-aston-villa/27-08-2003/1523652
2003/2004,2003-08-27T21:00:00,Liverpool,Tottenham,https://www.xscores.com/soccer/match/liverpool-vs-tottenham/27-08-2003/1523653
2003/2004,2003-08-27T21:00:00,Manchester United,Wolverhampton,https://www.xscores.com/soccer/match/manchester-united-vs-wolverhampton/27-08-2003/1523654
2003/2004,2003-10-14T20:45:00,Birmingham,Chelsea,https://www.xscores.com/soccer/match/birmingham-vs-chelsea/14-10-2003/1523655
2003/2004,2003-10-21T21:20:00,Fulham,Newcastle,https://www.xscores.com/soccer/match/fulham-vs-newcastle/21-10-2003/1523656
2003/2004,2003-08-30T13:30:00,Everton,Liverpool,https://www.xscores.com/soccer/match/everton-vs-liverpool/30-08-2003/1523657
2003/2004,2003-08-30T16:00:00,Aston Villa,Leicester,https://www.xscores.com/soccer/match/aston-villa-vs-leicester/30-08-2003/1523658
2003/2004,2003-08-30T16:00:00,Bolton,Charlton,https://www.xscores.com/soccer/match/bolton-vs-charlton/30-08-2003/1523659
2003/2004,2003-08-30T16:00:00,Chelsea,Blackburn,https://www.xscores.com/soccer/match/chelsea-vs-blackburn/30-08-2003/1523660
2003/2004,2003-08-30T16:00:00,Middlesbrough,Leeds,https://www.xscores.com/soccer/match/middlesbrough-vs-leeds/30-08-2003/1523661
2003/2004,2003-08-30T16:00:00,Newcastle,Birmingham,https://www.xscores.com/soccer/match/newcastle-vs-birmingham/30-08-2003/1523662
2003/2004,2003-08-30T16:00:00,Tottenham,Fulham,https://www.xscores.com/soccer/match/tottenham-vs-fulham/30-08-2003/1523663
2003/2004,2003-08-30T16:00:00,Wolverhampton,Portsmouth,https://www.xscores.com/soccer/match/wolverhampton-vs-portsmouth/30-08-2003/1523664
2003/2004,2003-08-31T15:00:00,Southampton,Manchester United,https://www.xscores.com/soccer/match/southampton-vs-manchester-united/31-08-2003/1523665
2003/2004,2003-08-31T17:05:00,Manchester City,Arsenal,https://www.xscores.com/soccer/match/manchester-city-vs-arsenal/31-08-2003/1523666
2003/2004,2003-09-13T16:00:00,Arsenal,Portsmouth,https://www.xscores.com/soccer/match/arsenal-vs-portsmouth/13-09-2003/1523672
2003/2004,2003-09-13T16:00:00,Blackburn,Liverpool,https://www.xscores.com/soccer/match/blackburn-vs-liverpool/13-09-2003/1523667
2003/2004,2003-09-13T16:00:00,Bolton,Middlesbrough,https://www.xscores.com/soccer/match/bolton-vs-middlesbrough/13-09-2003/1523668
2003/2004,2003-09-13T16:00:00,Charlton,Manchester United,https://www.xscores.com/soccer/match/charlton-vs-manchester-united/13-09-2003/1523669
2003/2004,2003-09-13T16:00:00,Chelsea,Tottenham,https://www.xscores.com/soccer/match/chelsea-vs-tottenham/13-09-2003/1523670
2003/2004,2003-09-13T16:00:00,Everton,Newcastle,https://www.xscores.com/soccer/match/everton-vs-newcastle/13-09-2003/1523671
2003/2004,2003-09-13T16:00:00,Southampton,Wolverhampton,https://www.xscores.com/soccer/match/southampton-vs-wolverhampton/13-09-2003/1523673
2003/2004,2003-09-14T15:00:00,Manchester City,Aston Villa,https://www.xscores.com/soccer/match/manchester-city-vs-aston-villa/14-09-2003/1523674
2003/2004,2003-09-14T17:05:00,Birmingham,Fulham,https://www.xscores.com/soccer/match/birmingham-vs-fulham/14-09-2003/1523675
2003/2004,2003-09-15T21:00:00,Leicester,Leeds,https://www.xscores.com/soccer/match/leicester-vs-leeds/15-09-2003/1523676
2003/2004,2003-09-20T13:30:00,Wolverhampton,Chelsea,https://www.xscores.com/soccer/match/wolverhampton-vs-chelsea/20-09-2003/1523677
2003/2004,2003-09-20T16:00:00,Aston Villa,Charlton,https://www.xscores.com/soccer/match/aston-villa-vs-charlton/20-09-2003/1523681
2003/2004,2003-09-20T16:00:00,Fulham,Manchester City,https://www.xscores.com/soccer/match/fulham-vs-manchester-city/20-09-2003/1523682
2003/2004,2003-09-20T16:00:00,Leeds,Birmingham,https://www.xscores.com/soccer/match/leeds-vs-birmingham/20-09-2003/1523683
2003/2004,2003-09-20T16:00:00,Liverpool,Leicester,https://www.xscores.com/soccer/match/liverpool-vs-leicester/20-09-2003/1523684
2003/2004,2003-09-20T16:00:00,Newcastle,Bolton,https://www.xscores.com/soccer/match/newcastle-vs-bolton/20-09-2003/1523678
2003/2004,2003-09-20T16:00:00,Portsmouth,Blackburn,https://www.xscores.com/soccer/match/portsmouth-vs-blackburn/20-09-2003/1523679
2003/2004,2003-09-20T16:00:00,Tottenham,Southampton,https://www.xscores.com/soccer/match/tottenham-vs-southampton/20-09-2003/1523680
2003/2004,2003-09-21T15:00:00,Middlesbrough,Everton,https://www.xscores.com/soccer/match/middlesbrough-vs-everton/21-09-2003/1523685
2003/2004,2003-09-21T17:05:00,Manchester United,Arsenal,https://www.xscores.com/soccer/match/manchester-united-vs-arsenal/21-09-2003/1523686
2003/2004,2003-09-26T21:00:00,Arsenal,Newcastle,https://www.xscores.com/soccer/match/arsenal-vs-newcastle/26-09-2003/1523687
2003/2004,2003-09-27T16:00:00,Birmingham,Portsmouth,https://www.xscores.com/soccer/match/birmingham-vs-portsmouth/27-09-2003/1523688
2003/2004,2003-09-27T16:00:00,Bolton,Wolverhampton,https://www.xscores.com/soccer/match/bolton-vs-wolverhampton/27-09-2003/1523689
2003/2004,2003-09-27T16:00:00,Chelsea,Aston Villa,https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/27-09-2003/1523690
2003/2004,2003-09-27T16:00:00,Leicester,Manchester United,https://www.xscores.com/soccer/match/leicester-vs-manchester-united/27-09-2003/1523691
2003/2004,2003-09-27T16:00:00,Southampton,Middlesbrough,https://www.xscores.com/soccer/match/southampton-vs-middlesbrough/27-09-2003/1523692
2003/2004,2003-09-28T15:00:00,Charlton,Liverpool,https://www.xscores.com/soccer/match/charlton-vs-liverpool/28-09-2003/1523693
2003/2004,2003-09-28T16:00:00,Blackburn,Fulham,https://www.xscores.com/soccer/match/blackburn-vs-fulham/28-09-2003/1523694
2003/2004,2003-09-28T16:00:00,Everton,Leeds,https://www.xscores.com/soccer/match/everton-vs-leeds/28-09-2003/1523695
2003/2004,2003-09-28T17:05:00,Manchester City,Tottenham,https://www.xscores.com/soccer/match/manchester-city-vs-tottenham/28-09-2003/1523696
2003/2004,2003-10-04T13:30:00,Liverpool,Arsenal,https://www.xscores.com/soccer/match/liverpool-vs-arsenal/04-10-2003/1523697
2003/2004,2003-10-04T16:00:00,Fulham,Leicester,https://www.xscores.com/soccer/match/fulham-vs-leicester/04-10-2003/1523699
2003/2004,2003-10-04T16:00:00,Leeds,Blackburn,https://www.xscores.com/soccer/match/leeds-vs-blackburn/04-10-2003/1523700
2003/2004,2003-10-04T16:00:00,Manchester United,Birmingham,https://www.xscores.com/soccer/match/manchester-united-vs-birmingham/04-10-2003/1523698
2003/2004,2003-10-04T16:00:00,Newcastle,Southampton,https://www.xscores.com/soccer/match/newcastle-vs-southampton/04-10-2003/1523701
2003/2004,2003-10-04T16:00:00,Portsmouth,Charlton,https://www.xscores.com/soccer/match/portsmouth-vs-charlton/04-10-2003/1523702
2003/2004,2003-10-04T16:00:00,Tottenham,Everton,https://www.xscores.com/soccer/match/tottenham-vs-everton/04-10-2003/1523703
2003/2004,2003-10-04T16:00:00,Wolverhampton,Manchester City,https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-city/04-10-2003/1523704
2003/2004,2003-10-05T15:00:00,Middlesbrough,Chelsea,https://www.xscores.com/soccer/match/middlesbrough-vs-chelsea/05-10-2003/1523705
2003/2004,2003-10-05T17:05:00,Aston Villa,Bolton,https://www.xscores.com/soccer/match/aston-villa-vs-bolton/05-10-2003/1523706
2003/2004,2003-10-18T13:00:00,Leeds,Manchester United,https://www.xscores.com/soccer/match/leeds-vs-manchester-united/18-10-2003/1523707
2003/2004,2003-10-18T16:00:00,Arsenal,Chelsea,https://www.xscores.com/soccer/match/arsenal-vs-chelsea/18-10-2003/1523711
2003/2004,2003-10-18T16:00:00,Fulham,Wolverhampton,https://www.xscores.com/soccer/match/fulham-vs-wolverhampton/18-10-2003/1523712
2003/2004,2003-10-18T16:00:00,Manchester City,Bolton,https://www.xscores.com/soccer/match/manchester-city-vs-bolton/18-10-2003/1523708
2003/2004,2003-10-18T16:00:00,Middlesbrough,Newcastle,https://www.xscores.com/soccer/match/middlesbrough-vs-newcastle/18-10-2003/1523709
2003/2004,2003-10-18T16:00:00,Portsmouth,Liverpool,https://www.xscores.com/soccer/match/portsmouth-vs-liverpool/18-10-2003/1523710
2003/2004,2003-10-19T13:00:00,Birmingham,Aston Villa,https://www.xscores.com/soccer/match/birmingham-vs-aston-villa/19-10-2003/1523713
2003/2004,2003-10-19T15:00:00,Leicester,Tottenham,https://www.xscores.com/soccer/match/leicester-vs-tottenham/19-10-2003/1523714
2003/2004,2003-10-19T17:05:00,Everton,Southampton,https://www.xscores.com/soccer/match/everton-vs-southampton/19-10-2003/1523715
2003/2004,2003-10-20T21:00:00,Blackburn,Charlton,https://www.xscores.com/soccer/match/blackburn-vs-charlton/20-10-2003/1523716
2003/2004,2003-10-25T13:30:00,Bolton,Birmingham,https://www.xscores.com/soccer/match/bolton-vs-birmingham/25-10-2003/1523717
2003/2004,2003-10-25T13:30:00,Liverpool,Leeds,https://www.xscores.com/soccer/match/liverpool-vs-leeds/25-10-2003/1523718
2003/2004,2003-10-25T16:00:00,Aston Villa,Everton,https://www.xscores.com/soccer/match/aston-villa-vs-everton/25-10-2003/1523722
2003/2004,2003-10-25T16:00:00,Chelsea,Manchester City,https://www.xscores.com/soccer/match/chelsea-vs-manchester-city/25-10-2003/1523723
2003/2004,2003-10-25T16:00:00,Manchester United,Fulham,https://www.xscores.com/soccer/match/manchester-united-vs-fulham/25-10-2003/1523719
2003/2004,2003-10-25T16:00:00,Newcastle,Portsmouth,https://www.xscores.com/soccer/match/newcastle-vs-portsmouth/25-10-2003/1523720
2003/2004,2003-10-25T16:00:00,Southampton,Blackburn,https://www.xscores.com/soccer/match/southampton-vs-blackburn/25-10-2003/1523721
2003/2004,2003-10-25T16:00:00,Wolverhampton,Leicester,https://www.xscores.com/soccer/match/wolverhampton-vs-leicester/25-10-2003/1523724
2003/2004,2003-10-26T14:00:00,Charlton,Arsenal,https://www.xscores.com/soccer/match/charlton-vs-arsenal/26-10-2003/1523725
2003/2004,2003-10-26T16:05:00,Tottenham,Middlesbrough,https://www.xscores.com/soccer/match/tottenham-vs-middlesbrough/26-10-2003/1523726
2003/2004,2003-11-01T15:00:00,Everton,Chelsea,https://www.xscores.com/soccer/match/everton-vs-chelsea/01-11-2003/1523727
2003/2004,2003-11-01T15:00:00,Leeds,Arsenal,https://www.xscores.com/soccer/match/leeds-vs-arsenal/01-11-2003/1523728
2003/2004,2003-11-01T15:00:00,Manchester United,Portsmouth,https://www.xscores.com/soccer/match/manchester-united-vs-portsmouth/01-11-2003/1523729
2003/2004,2003-11-01T15:00:00,Middlesbrough,Wolverhampton,https://www.xscores.com/soccer/match/middlesbrough-vs-wolverhampton/01-11-2003/1523730
2003/2004,2003-11-01T15:00:00,Newcastle,Aston Villa,https://www.xscores.com/soccer/match/newcastle-vs-aston-villa/01-11-2003/1523731
2003/2004,2003-11-01T15:00:00,Southampton,Manchester City,https://www.xscores.com/soccer/match/southampton-vs-manchester-city/01-11-2003/1523732
2003/2004,2003-11-01T15:00:00,Tottenham,Bolton,https://www.xscores.com/soccer/match/tottenham-vs-bolton/01-11-2003/1523733
2003/2004,2003-11-02T14:00:00,Fulham,Liverpool,https://www.xscores.com/soccer/match/fulham-vs-liverpool/02-11-2003/1523734
2003/2004,2003-11-02T16:05:00,Leicester,Blackburn,https://www.xscores.com/soccer/match/leicester-vs-blackburn/02-11-2003/1523735
2003/2004,2003-11-03T20:00:00,Birmingham,Charlton,https://www.xscores.com/soccer/match/birmingham-vs-charlton/03-11-2003/1523736
2003/2004,2003-11-08T12:30:00,Wolverhampton,Birmingham,https://www.xscores.com/soccer/match/wolverhampton-vs-birmingham/08-11-2003/1523737
2003/2004,2003-11-08T15:00:00,Arsenal,Tottenham,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/08-11-2003/1523738
2003/2004,2003-11-08T15:00:00,Aston Villa,Middlesbrough,https://www.xscores.com/soccer/match/aston-villa-vs-middlesbrough/08-11-2003/1523739
2003/2004,2003-11-08T15:00:00,Bolton,Southampton,https://www.xscores.com/soccer/match/bolton-vs-southampton/08-11-2003/1523740
2003/2004,2003-11-08T15:00:00,Charlton,Fulham,https://www.xscores.com/soccer/match/charlton-vs-fulham/08-11-2003/1523741
2003/2004,2003-11-08T15:30:00,Portsmouth,Leeds,https://www.xscores.com/soccer/match/portsmouth-vs-leeds/08-11-2003/1523742
2003/2004,2003-11-09T13:45:00,Liverpool,Manchester United,https://www.xscores.com/soccer/match/liverpool-vs-manchester-united/09-11-2003/1523743
2003/2004,2003-11-09T15:00:00,Manchester City,Leicester,https://www.xscores.com/soccer/match/manchester-city-vs-leicester/09-11-2003/1523744
2003/2004,2003-11-09T16:05:00,Chelsea,Newcastle,https://www.xscores.com/soccer/match/chelsea-vs-newcastle/09-11-2003/1523745
2003/2004,2003-11-10T20:00:00,Blackburn,Everton,https://www.xscores.com/soccer/match/blackburn-vs-everton/10-11-2003/1523746
2003/2004,2003-11-22T12:30:00,Manchester United,Blackburn,https://www.xscores.com/soccer/match/manchester-united-vs-blackburn/22-11-2003/1523747
2003/2004,2003-11-22T15:00:00,Birmingham,Arsenal,https://www.xscores.com/soccer/match/birmingham-vs-arsenal/22-11-2003/1523751
2003/2004,2003-11-22T15:00:00,Everton,Wolverhampton,https://www.xscores.com/soccer/match/everton-vs-wolverhampton/22-11-2003/1523752
2003/2004,2003-11-22T15:00:00,Leeds,Bolton,https://www.xscores.com/soccer/match/leeds-vs-bolton/22-11-2003/1523753
2003/2004,2003-11-22T15:00:00,Leicester,Charlton,https://www.xscores.com/soccer/match/leicester-vs-charlton/22-11-2003/1523754
2003/2004,2003-11-22T15:00:00,Middlesbrough,Liverpool,https://www.xscores.com/soccer/match/middlesbrough-vs-liverpool/22-11-2003/1523748
2003/2004,2003-11-22T15:00:00,Newcastle,Manchester City,https://www.xscores.com/soccer/match/newcastle-vs-manchester-city/22-11-2003/1523749
2003/2004,2003-11-22T15:00:00,Southampton,Chelsea,https://www.xscores.com/soccer/match/southampton-vs-chelsea/22-11-2003/1523750
2003/2004,2003-11-23T16:05:00,Tottenham,Aston Villa,https://www.xscores.com/soccer/match/tottenham-vs-aston-villa/23-11-2003/1523755
2003/2004,2003-11-24T20:00:00,Fulham,Portsmouth,https://www.xscores.com/soccer/match/fulham-vs-portsmouth/24-11-2003/1523756
2003/2004,2003-11-29T12:30:00,Wolverhampton,Newcastle,https://www.xscores.com/soccer/match/wolverhampton-vs-newcastle/29-11-2003/1523757
2003/2004,2003-11-29T15:00:00,Aston Villa,Southampton,https://www.xscores.com/soccer/match/aston-villa-vs-southampton/29-11-2003/1523759
2003/2004,2003-11-29T15:00:00,Blackburn,Tottenham,https://www.xscores.com/soccer/match/blackburn-vs-tottenham/29-11-2003/1523760
2003/2004,2003-11-29T15:00:00,Bolton,Everton,https://www.xscores.com/soccer/match/bolton-vs-everton/29-11-2003/1523761
2003/2004,2003-11-29T15:00:00,Charlton,Leeds,https://www.xscores.com/soccer/match/charlton-vs-leeds/29-11-2003/1523758
2003/2004,2003-11-29T15:00:00,Portsmouth,Leicester,https://www.xscores.com/soccer/match/portsmouth-vs-leicester/29-11-2003/1523762
2003/2004,2003-11-30T14:00:00,Arsenal,Fulham,https://www.xscores.com/soccer/match/arsenal-vs-fulham/30-11-2003/1523763
2003/2004,2003-11-30T15:00:00,Liverpool,Birmingham,https://www.xscores.com/soccer/match/liverpool-vs-birmingham/30-11-2003/1523764
2003/2004,2003-11-30T15:00:00,Manchester City,Middlesbrough,https://www.xscores.com/soccer/match/manchester-city-vs-middlesbrough/30-11-2003/1523765
2003/2004,2003-11-30T16:05:00,Chelsea,Manchester United,https://www.xscores.com/soccer/match/chelsea-vs-manchester-united/30-11-2003/1523766
2003/2004,2003-12-06T12:30:00,Newcastle,Liverpool,https://www.xscores.com/soccer/match/newcastle-vs-liverpool/06-12-2003/1523767
2003/2004,2003-12-06T15:00:00,Birmingham,Blackburn,https://www.xscores.com/soccer/match/birmingham-vs-blackburn/06-12-2003/1523768
2003/2004,2003-12-06T15:00:00,Fulham,Bolton,https://www.xscores.com/soccer/match/fulham-vs-bolton/06-12-2003/1523769
2003/2004,2003-12-06T15:00:00,Leeds,Chelsea,https://www.xscores.com/soccer/match/leeds-vs-chelsea/06-12-2003/1523770
2003/2004,2003-12-06T15:00:00,Leicester,Arsenal,https://www.xscores.com/soccer/match/leicester-vs-arsenal/06-12-2003/1523771
2003/2004,2003-12-06T15:00:00,Manchester United,Aston Villa,https://www.xscores.com/soccer/match/manchester-united-vs-aston-villa/06-12-2003/1523772
2003/2004,2003-12-06T15:00:00,Middlesbrough,Portsmouth,https://www.xscores.com/soccer/match/middlesbrough-vs-portsmouth/06-12-2003/1523773
2003/2004,2003-12-06T15:00:00,Tottenham,Wolverhampton,https://www.xscores.com/soccer/match/tottenham-vs-wolverhampton/06-12-2003/1523774
2003/2004,2003-12-07T14:00:00,Everton,Manchester City,https://www.xscores.com/soccer/match/everton-vs-manchester-city/07-12-2003/1523775
2003/2004,2003-12-07T16:05:00,Southampton,Charlton,https://www.xscores.com/soccer/match/southampton-vs-charlton/07-12-2003/1523776
2003/2004,2003-12-13T12:00:00,Leicester,Birmingham,https://www.xscores.com/soccer/match/leicester-vs-birmingham/13-12-2003/1523777
2003/2004,2003-12-13T12:30:00,Manchester United,Manchester City,https://www.xscores.com/soccer/match/manchester-united-vs-manchester-city/13-12-2003/1523778
2003/2004,2003-12-13T15:00:00,Chelsea,Bolton,https://www.xscores.com/soccer/match/chelsea-vs-bolton/13-12-2003/1523782
2003/2004,2003-12-13T15:00:00,Liverpool,Southampton,https://www.xscores.com/soccer/match/liverpool-vs-southampton/13-12-2003/1523783
2003/2004,2003-12-13T15:00:00,Middlesbrough,Charlton,https://www.xscores.com/soccer/match/middlesbrough-vs-charlton/13-12-2003/1523779
2003/2004,2003-12-13T15:00:00,Newcastle,Tottenham,https://www.xscores.com/soccer/match/newcastle-vs-tottenham/13-12-2003/1523780
2003/2004,2003-12-13T15:00:00,Portsmouth,Everton,https://www.xscores.com/soccer/match/portsmouth-vs-everton/13-12-2003/1523781
2003/2004,2003-12-14T12:00:00,Aston Villa,Wolverhampton,https://www.xscores.com/soccer/match/aston-villa-vs-wolverhampton/14-12-2003/1523784
2003/2004,2003-12-14T14:00:00,Arsenal,Blackburn,https://www.xscores.com/soccer/match/arsenal-vs-blackburn/14-12-2003/1523785
2003/2004,2003-12-14T16:05:00,Leeds,Fulham,https://www.xscores.com/soccer/match/leeds-vs-fulham/14-12-2003/1523786
2003/2004,2003-12-20T15:00:00,Blackburn,Aston Villa,https://www.xscores.com/soccer/match/blackburn-vs-aston-villa/20-12-2003/1523787
