season,date,home_team,away_team,url
1993/1994,1993-08-14T01:00:00,Arsenal,Coventry,https://www.xscores.com/soccer/match/arsenal-vs-coventry/14-08-1993/1590647
1993/1994,1993-08-14T01:00:00,Aston Villa,Queens Park Rangers,https://www.xscores.com/soccer/match/aston-villa-vs-queens-park-rangers/14-08-1993/1590648
1993/1994,1993-08-14T01:00:00,Chelsea,Blackburn,https://www.xscores.com/soccer/match/chelsea-vs-blackburn/14-08-1993/1590649
1993/1994,1993-08-14T01:00:00,Liverpool,Sheffield Wednesday,https://www.xscores.com/soccer/match/liverpool-vs-sheffield-wednesday/14-08-1993/1590650
1993/1994,1993-08-14T01:00:00,Manchester City,Leeds,https://www.xscores.com/soccer/match/manchester-city-vs-leeds/14-08-1993/1590651
1993/1994,1993-08-14T01:00:00,Newcastle,Tottenham,https://www.xscores.com/soccer/match/newcastle-vs-tottenham/14-08-1993/1590652
1993/1994,1993-08-14T01:00:00,Oldham,Ipswich,https://www.xscores.com/soccer/match/oldham-vs-ipswich/14-08-1993/1590653
1993/1994,1993-08-14T01:00:00,Sheffield United,Swindon,https://www.xscores.com/soccer/match/sheffield-united-vs-swindon/14-08-1993/1590654
1993/1994,1993-08-14T01:00:00,Southampton,Everton,https://www.xscores.com/soccer/match/southampton-vs-everton/14-08-1993/1590655
1993/1994,1993-08-14T01:00:00,West Ham,AFC Wimbledon,https://www.xscores.com/soccer/match/west-ham-vs-afc-wimbledon/14-08-1993/1590656
1993/1994,1993-08-15T01:00:00,Norwich,Manchester United,https://www.xscores.com/soccer/match/norwich-vs-manchester-united/15-08-1993/1590657
1993/1994,1993-08-16T01:00:00,Tottenham,Arsenal,https://www.xscores.com/soccer/match/tottenham-vs-arsenal/16-08-1993/1590658
1993/1994,1993-08-17T01:00:00,AFC Wimbledon,Chelsea,https://www.xscores.com/soccer/match/afc-wimbledon-vs-chelsea/17-08-1993/1590662
1993/1994,1993-08-17T01:00:00,Everton,Manchester City,https://www.xscores.com/soccer/match/everton-vs-manchester-city/17-08-1993/1590659
1993/1994,1993-08-17T01:00:00,Ipswich,Southampton,https://www.xscores.com/soccer/match/ipswich-vs-southampton/17-08-1993/1590660
1993/1994,1993-08-17T01:00:00,Leeds,West Ham,https://www.xscores.com/soccer/match/leeds-vs-west-ham/17-08-1993/1590661
1993/1994,1993-08-18T01:00:00,Blackburn,Norwich,https://www.xscores.com/soccer/match/blackburn-vs-norwich/18-08-1993/1590663
1993/1994,1993-08-18T01:00:00,Coventry,Newcastle,https://www.xscores.com/soccer/match/coventry-vs-newcastle/18-08-1993/1590664
1993/1994,1993-08-18T01:00:00,Manchester United,Sheffield United,https://www.xscores.com/soccer/match/manchester-united-vs-sheffield-united/18-08-1993/1590665
1993/1994,1993-08-18T01:00:00,Queens Park Rangers,Liverpool,https://www.xscores.com/soccer/match/queens-park-rangers-vs-liverpool/18-08-1993/1590666
1993/1994,1993-08-18T01:00:00,Sheffield Wednesday,Aston Villa,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-aston-villa/18-08-1993/1590667
1993/1994,1993-08-18T01:00:00,Swindon,Oldham,https://www.xscores.com/soccer/match/swindon-vs-oldham/18-08-1993/1590668
1993/1994,1993-08-21T01:00:00,AFC Wimbledon,Aston Villa,https://www.xscores.com/soccer/match/afc-wimbledon-vs-aston-villa/21-08-1993/1590678
