season,date,home_team,away_team,url
2021/2022,2021-08-13T20:00:00,Brentford,Arsenal,https://www.xscores.com/soccer/match/brentford-vs-arsenal/13-08-2021/319116
2021/2022,2021-08-14T12:30:00,Manchester United,Leeds,https://www.xscores.com/soccer/match/manchester-united-vs-leeds/14-08-2021/319121
2021/2022,2021-08-14T15:00:00,Burnley,Brighton,https://www.xscores.com/soccer/match/burnley-vs-brighton/14-08-2021/319117
2021/2022,2021-08-14T15:00:00,Chelsea,Crystal Palace,https://www.xscores.com/soccer/match/chelsea-vs-crystal-palace/14-08-2021/319118
2021/2022,2021-08-14T15:00:00,Everton,Southampton,https://www.xscores.com/soccer/match/everton-vs-southampton/14-08-2021/319119
2021/2022,2021-08-14T15:00:00,Leicester,Wolverhampton,https://www.xscores.com/soccer/match/leicester-vs-wolverhampton/14-08-2021/319120
2021/2022,2021-08-14T15:00:00,Watford,Aston Villa,https://www.xscores.com/soccer/match/watford-vs-aston-villa/14-08-2021/319125
2021/2022,2021-08-14T17:30:00,Norwich,Liverpool,https://www.xscores.com/soccer/match/norwich-vs-liverpool/14-08-2021/319123
2021/2022,2021-08-15T14:00:00,Newcastle,West Ham,https://www.xscores.com/soccer/match/newcastle-vs-west-ham/15-08-2021/319122
2021/2022,2021-08-15T16:30:00,Tottenham,Manchester City,https://www.xscores.com/soccer/match/tottenham-vs-manchester-city/15-08-2021/319124
2021/2022,2021-08-21T12:30:00,Liverpool,Burnley,https://www.xscores.com/soccer/match/liverpool-vs-burnley/21-08-2021/319131
2021/2022,2021-08-21T15:00:00,Aston Villa,Newcastle,https://www.xscores.com/soccer/match/aston-villa-vs-newcastle/21-08-2021/319127
2021/2022,2021-08-21T15:00:00,Crystal Palace,Brentford,https://www.xscores.com/soccer/match/crystal-palace-vs-brentford/21-08-2021/319129
2021/2022,2021-08-21T15:00:00,Leeds,Everton,https://www.xscores.com/soccer/match/leeds-vs-everton/21-08-2021/319130
2021/2022,2021-08-21T15:00:00,Manchester City,Norwich,https://www.xscores.com/soccer/match/manchester-city-vs-norwich/21-08-2021/319132
2021/2022,2021-08-21T17:30:00,Brighton,Watford,https://www.xscores.com/soccer/match/brighton-vs-watford/21-08-2021/319128
2021/2022,2021-08-22T14:00:00,Southampton,Manchester United,https://www.xscores.com/soccer/match/southampton-vs-manchester-united/22-08-2021/319133
2021/2022,2021-08-22T14:00:00,Wolverhampton,Tottenham,https://www.xscores.com/soccer/match/wolverhampton-vs-tottenham/22-08-2021/319135
2021/2022,2021-08-22T16:30:00,Arsenal,Chelsea,https://www.xscores.com/soccer/match/arsenal-vs-chelsea/22-08-2021/319126
2021/2022,2021-08-23T20:00:00,West Ham,Leicester,https://www.xscores.com/soccer/match/west-ham-vs-leicester/23-08-2021/319134
2021/2022,2021-08-28T12:30:00,Manchester City,Arsenal,https://www.xscores.com/soccer/match/manchester-city-vs-arsenal/28-08-2021/319140
2021/2022,2021-08-28T15:00:00,Aston Villa,Brentford,https://www.xscores.com/soccer/match/aston-villa-vs-brentford/28-08-2021/319136
2021/2022,2021-08-28T15:00:00,Brighton,Everton,https://www.xscores.com/soccer/match/brighton-vs-everton/28-08-2021/319137
2021/2022,2021-08-28T15:00:00,Newcastle,Southampton,https://www.xscores.com/soccer/match/newcastle-vs-southampton/28-08-2021/319141
2021/2022,2021-08-28T15:00:00,Norwich,Leicester,https://www.xscores.com/soccer/match/norwich-vs-leicester/28-08-2021/319142
2021/2022,2021-08-28T15:00:00,West Ham,Crystal Palace,https://www.xscores.com/soccer/match/west-ham-vs-crystal-palace/28-08-2021/319144
2021/2022,2021-08-28T17:30:00,Liverpool,Chelsea,https://www.xscores.com/soccer/match/liverpool-vs-chelsea/28-08-2021/319139
2021/2022,2021-08-29T14:00:00,Burnley,Leeds,https://www.xscores.com/soccer/match/burnley-vs-leeds/29-08-2021/319138
2021/2022,2021-08-29T14:00:00,Tottenham,Watford,https://www.xscores.com/soccer/match/tottenham-vs-watford/29-08-2021/319143
2021/2022,2021-08-29T16:30:00,Wolverhampton,Manchester United,https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-united/29-08-2021/319145
2021/2022,2021-09-11T12:30:00,Crystal Palace,Tottenham,https://www.xscores.com/soccer/match/crystal-palace-vs-tottenham/11-09-2021/319149
2021/2022,2021-09-11T15:00:00,Arsenal,Norwich,https://www.xscores.com/soccer/match/arsenal-vs-norwich/11-09-2021/319146
2021/2022,2021-09-11T15:00:00,Brentford,Brighton,https://www.xscores.com/soccer/match/brentford-vs-brighton/11-09-2021/319147
2021/2022,2021-09-11T15:00:00,Leicester,Manchester City,https://www.xscores.com/soccer/match/leicester-vs-manchester-city/11-09-2021/319152
2021/2022,2021-09-11T15:00:00,Manchester United,Newcastle,https://www.xscores.com/soccer/match/manchester-united-vs-newcastle/11-09-2021/319153
2021/2022,2021-09-11T15:00:00,Southampton,West Ham,https://www.xscores.com/soccer/match/southampton-vs-west-ham/11-09-2021/319154
2021/2022,2021-09-11T15:00:00,Watford,Wolverhampton,https://www.xscores.com/soccer/match/watford-vs-wolverhampton/11-09-2021/319155
2021/2022,2021-09-11T17:30:00,Chelsea,Aston Villa,https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/11-09-2021/319148
2021/2022,2021-09-12T16:30:00,Leeds,Liverpool,https://www.xscores.com/soccer/match/leeds-vs-liverpool/12-09-2021/319151
2021/2022,2021-09-13T20:00:00,Everton,Burnley,https://www.xscores.com/soccer/match/everton-vs-burnley/13-09-2021/319150
2021/2022,2021-09-17T20:00:00,Newcastle,Leeds,https://www.xscores.com/soccer/match/newcastle-vs-leeds/17-09-2021/319161
2021/2022,2021-09-18T12:30:00,Wolverhampton,Brentford,https://www.xscores.com/soccer/match/wolverhampton-vs-brentford/18-09-2021/319165
2021/2022,2021-09-18T15:00:00,Burnley,Arsenal,https://www.xscores.com/soccer/match/burnley-vs-arsenal/18-09-2021/319158
2021/2022,2021-09-18T15:00:00,Liverpool,Crystal Palace,https://www.xscores.com/soccer/match/liverpool-vs-crystal-palace/18-09-2021/319159
2021/2022,2021-09-18T15:00:00,Manchester City,Southampton,https://www.xscores.com/soccer/match/manchester-city-vs-southampton/18-09-2021/319160
2021/2022,2021-09-18T15:00:00,Norwich,Watford,https://www.xscores.com/soccer/match/norwich-vs-watford/18-09-2021/319162
2021/2022,2021-09-18T17:30:00,Aston Villa,Everton,https://www.xscores.com/soccer/match/aston-villa-vs-everton/18-09-2021/319156
2021/2022,2021-09-19T14:00:00,Brighton,Leicester,https://www.xscores.com/soccer/match/brighton-vs-leicester/19-09-2021/319157
2021/2022,2021-09-19T14:00:00,West Ham,Manchester United,https://www.xscores.com/soccer/match/west-ham-vs-manchester-united/19-09-2021/319164
2021/2022,2021-09-19T16:30:00,Tottenham,Chelsea,https://www.xscores.com/soccer/match/tottenham-vs-chelsea/19-09-2021/319163
2021/2022,2021-09-25T12:30:00,Chelsea,Manchester City,https://www.xscores.com/soccer/match/chelsea-vs-manchester-city/25-09-2021/319168
2021/2022,2021-09-25T12:30:00,Manchester United,Aston Villa,https://www.xscores.com/soccer/match/manchester-united-vs-aston-villa/25-09-2021/319173
2021/2022,2021-09-25T15:00:00,Everton,Norwich,https://www.xscores.com/soccer/match/everton-vs-norwich/25-09-2021/319170
2021/2022,2021-09-25T15:00:00,Leeds,West Ham,https://www.xscores.com/soccer/match/leeds-vs-west-ham/25-09-2021/319171
2021/2022,2021-09-25T15:00:00,Leicester,Burnley,https://www.xscores.com/soccer/match/leicester-vs-burnley/25-09-2021/319172
2021/2022,2021-09-25T15:00:00,Watford,Newcastle,https://www.xscores.com/soccer/match/watford-vs-newcastle/25-09-2021/319175
2021/2022,2021-09-25T17:30:00,Brentford,Liverpool,https://www.xscores.com/soccer/match/brentford-vs-liverpool/25-09-2021/319167
2021/2022,2021-09-26T14:00:00,Southampton,Wolverhampton,https://www.xscores.com/soccer/match/southampton-vs-wolverhampton/26-09-2021/319174
2021/2022,2021-09-26T16:30:00,Arsenal,Tottenham,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/26-09-2021/319166
2021/2022,2021-09-27T20:00:00,Crystal Palace,Brighton,https://www.xscores.com/soccer/match/crystal-palace-vs-brighton/27-09-2021/319169
2021/2022,2021-10-02T12:30:00,Manchester United,Everton,https://www.xscores.com/soccer/match/manchester-united-vs-everton/02-10-2021/319182
2021/2022,2021-10-02T15:00:00,Burnley,Norwich,https://www.xscores.com/soccer/match/burnley-vs-norwich/02-10-2021/319177
2021/2022,2021-10-02T15:00:00,Chelsea,Southampton,https://www.xscores.com/soccer/match/chelsea-vs-southampton/02-10-2021/319178
2021/2022,2021-10-02T15:00:00,Leeds,Watford,https://www.xscores.com/soccer/match/leeds-vs-watford/02-10-2021/319180
2021/2022,2021-10-02T15:00:00,Wolverhampton,Newcastle,https://www.xscores.com/soccer/match/wolverhampton-vs-newcastle/02-10-2021/319185
2021/2022,2021-10-02T17:30:00,Brighton,Arsenal,https://www.xscores.com/soccer/match/brighton-vs-arsenal/02-10-2021/319176
2021/2022,2021-10-03T14:00:00,Crystal Palace,Leicester,https://www.xscores.com/soccer/match/crystal-palace-vs-leicester/03-10-2021/319179
2021/2022,2021-10-03T14:00:00,Tottenham,Aston Villa,https://www.xscores.com/soccer/match/tottenham-vs-aston-villa/03-10-2021/319183
2021/2022,2021-10-03T14:00:00,West Ham,Brentford,https://www.xscores.com/soccer/match/west-ham-vs-brentford/03-10-2021/319184
2021/2022,2021-10-03T16:30:00,Liverpool,Manchester City,https://www.xscores.com/soccer/match/liverpool-vs-manchester-city/03-10-2021/319181
2021/2022,2021-10-16T12:30:00,Watford,Liverpool,https://www.xscores.com/soccer/match/watford-vs-liverpool/16-10-2021/319195
2021/2022,2021-10-16T15:00:00,Aston Villa,Wolverhampton,https://www.xscores.com/soccer/match/aston-villa-vs-wolverhampton/16-10-2021/319187
2021/2022,2021-10-16T15:00:00,Leicester,Manchester United,https://www.xscores.com/soccer/match/leicester-vs-manchester-united/16-10-2021/319190
2021/2022,2021-10-16T15:00:00,Manchester City,Burnley,https://www.xscores.com/soccer/match/manchester-city-vs-burnley/16-10-2021/319191
2021/2022,2021-10-16T15:00:00,Norwich,Brighton,https://www.xscores.com/soccer/match/norwich-vs-brighton/16-10-2021/319193
2021/2022,2021-10-16T15:00:00,Southampton,Leeds,https://www.xscores.com/soccer/match/southampton-vs-leeds/16-10-2021/319194
2021/2022,2021-10-16T17:30:00,Brentford,Chelsea,https://www.xscores.com/soccer/match/brentford-vs-chelsea/16-10-2021/319188
2021/2022,2021-10-17T14:00:00,Everton,West Ham,https://www.xscores.com/soccer/match/everton-vs-west-ham/17-10-2021/319189
2021/2022,2021-10-17T16:30:00,Newcastle,Tottenham,https://www.xscores.com/soccer/match/newcastle-vs-tottenham/17-10-2021/319192
2021/2022,2021-10-18T20:00:00,Arsenal,Crystal Palace,https://www.xscores.com/soccer/match/arsenal-vs-crystal-palace/18-10-2021/319186
2021/2022,2021-10-22T20:00:00,Arsenal,Aston Villa,https://www.xscores.com/soccer/match/arsenal-vs-aston-villa/22-10-2021/319196
2021/2022,2021-10-23T12:30:00,Chelsea,Norwich,https://www.xscores.com/soccer/match/chelsea-vs-norwich/23-10-2021/319199
2021/2022,2021-10-23T15:00:00,Crystal Palace,Newcastle,https://www.xscores.com/soccer/match/crystal-palace-vs-newcastle/23-10-2021/319200
2021/2022,2021-10-23T15:00:00,Everton,Watford,https://www.xscores.com/soccer/match/everton-vs-watford/23-10-2021/319201
2021/2022,2021-10-23T15:00:00,Leeds,Wolverhampton,https://www.xscores.com/soccer/match/leeds-vs-wolverhampton/23-10-2021/319202
2021/2022,2021-10-23T15:00:00,Southampton,Burnley,https://www.xscores.com/soccer/match/southampton-vs-burnley/23-10-2021/319204
2021/2022,2021-10-23T17:30:00,Brighton,Manchester City,https://www.xscores.com/soccer/match/brighton-vs-manchester-city/23-10-2021/319198
2021/2022,2021-10-24T14:00:00,Brentford,Leicester,https://www.xscores.com/soccer/match/brentford-vs-leicester/24-10-2021/319197
2021/2022,2021-10-24T14:00:00,West Ham,Tottenham,https://www.xscores.com/soccer/match/west-ham-vs-tottenham/24-10-2021/319205
2021/2022,2021-10-24T16:30:00,Manchester United,Liverpool,https://www.xscores.com/soccer/match/manchester-united-vs-liverpool/24-10-2021/319203
2021/2022,2021-10-30T12:30:00,Leicester,Arsenal,https://www.xscores.com/soccer/match/leicester-vs-arsenal/30-10-2021/319208
2021/2022,2021-10-30T15:00:00,Burnley,Brentford,https://www.xscores.com/soccer/match/burnley-vs-brentford/30-10-2021/319207
2021/2022,2021-10-30T15:00:00,Liverpool,Brighton,https://www.xscores.com/soccer/match/liverpool-vs-brighton/30-10-2021/319209
2021/2022,2021-10-30T15:00:00,Manchester City,Crystal Palace,https://www.xscores.com/soccer/match/manchester-city-vs-crystal-palace/30-10-2021/319210
2021/2022,2021-10-30T15:00:00,Newcastle,Chelsea,https://www.xscores.com/soccer/match/newcastle-vs-chelsea/30-10-2021/319211
2021/2022,2021-10-30T15:00:00,Watford,Southampton,https://www.xscores.com/soccer/match/watford-vs-southampton/30-10-2021/319214
2021/2022,2021-10-30T17:30:00,Tottenham,Manchester United,https://www.xscores.com/soccer/match/tottenham-vs-manchester-united/30-10-2021/319213
2021/2022,2021-10-31T14:00:00,Norwich,Leeds,https://www.xscores.com/soccer/match/norwich-vs-leeds/31-10-2021/319212
2021/2022,2021-10-31T16:30:00,Aston Villa,West Ham,https://www.xscores.com/soccer/match/aston-villa-vs-west-ham/31-10-2021/319206
2021/2022,2021-11-01T20:00:00,Wolverhampton,Everton,https://www.xscores.com/soccer/match/wolverhampton-vs-everton/01-11-2021/319215
2021/2022,2021-11-05T20:00:00,Southampton,Aston Villa,https://www.xscores.com/soccer/match/southampton-vs-aston-villa/05-11-2021/319224
2021/2022,2021-11-06T12:30:00,Manchester United,Manchester City,https://www.xscores.com/soccer/match/manchester-united-vs-manchester-city/06-11-2021/319223
2021/2022,2021-11-06T15:00:00,Brentford,Norwich,https://www.xscores.com/soccer/match/brentford-vs-norwich/06-11-2021/319217
2021/2022,2021-11-06T15:00:00,Chelsea,Burnley,https://www.xscores.com/soccer/match/chelsea-vs-burnley/06-11-2021/319219
2021/2022,2021-11-06T15:00:00,Crystal Palace,Wolverhampton,https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/06-11-2021/319220
2021/2022,2021-11-06T17:30:00,Brighton,Newcastle,https://www.xscores.com/soccer/match/brighton-vs-newcastle/06-11-2021/319218
2021/2022,2021-11-07T14:00:00,Arsenal,Watford,https://www.xscores.com/soccer/match/arsenal-vs-watford/07-11-2021/319216
2021/2022,2021-11-07T14:00:00,Everton,Tottenham,https://www.xscores.com/soccer/match/everton-vs-tottenham/07-11-2021/319221
2021/2022,2021-11-07T14:00:00,Leeds,Leicester,https://www.xscores.com/soccer/match/leeds-vs-leicester/07-11-2021/319222
2021/2022,2021-11-07T16:30:00,West Ham,Liverpool,https://www.xscores.com/soccer/match/west-ham-vs-liverpool/07-11-2021/319225
2021/2022,2021-11-20T12:30:00,Leicester,Chelsea,https://www.xscores.com/soccer/match/leicester-vs-chelsea/20-11-2021/319228
2021/2022,2021-11-20T15:00:00,Aston Villa,Brighton,https://www.xscores.com/soccer/match/aston-villa-vs-brighton/20-11-2021/319226
2021/2022,2021-11-20T15:00:00,Burnley,Crystal Palace,https://www.xscores.com/soccer/match/burnley-vs-crystal-palace/20-11-2021/319227
2021/2022,2021-11-20T15:00:00,Newcastle,Brentford,https://www.xscores.com/soccer/match/newcastle-vs-brentford/20-11-2021/319231
2021/2022,2021-11-20T15:00:00,Norwich,Southampton,https://www.xscores.com/soccer/match/norwich-vs-southampton/20-11-2021/319232
2021/2022,2021-11-20T15:00:00,Watford,Manchester United,https://www.xscores.com/soccer/match/watford-vs-manchester-united/20-11-2021/319234
2021/2022,2021-11-20T15:00:00,Wolverhampton,West Ham,https://www.xscores.com/soccer/match/wolverhampton-vs-west-ham/20-11-2021/319235
2021/2022,2021-11-20T17:30:00,Liverpool,Arsenal,https://www.xscores.com/soccer/match/liverpool-vs-arsenal/20-11-2021/319229
2021/2022,2021-11-21T14:00:00,Manchester City,Everton,https://www.xscores.com/soccer/match/manchester-city-vs-everton/21-11-2021/319230
2021/2022,2021-11-21T16:30:00,Tottenham,Leeds,https://www.xscores.com/soccer/match/tottenham-vs-leeds/21-11-2021/319233
