URL,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/nottingham-forest-vs-sheffield-united/18-08-2023/2139435,Regular goal,1-0,Taiwo Awoniyi,3,0
https://www.xscores.com/soccer/match/nottingham-forest-vs-sheffield-united/18-08-2023/2139435,Regular goal,1-1,Gustavo Hamer,48,0
https://www.xscores.com/soccer/match/nottingham-forest-vs-sheffield-united/18-08-2023/2139435,Regular goal,2-1,Chris Wood,89,0
https://www.xscores.com/soccer/match/fulham-vs-brentford/19-08-2023/2139439,Regular goal,0-1,Yoane Wissa,44,0
https://www.xscores.com/soccer/match/fulham-vs-brentford/19-08-2023/2139439,Penalty,0-2,Bryan Mbeumo,66,0
https://www.xscores.com/soccer/match/fulham-vs-brentford/19-08-2023/2139439,Regular goal,0-3,Bryan Mbeumo,90,2
https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438,Regular goal,0-1,Antoine Semenyo,3,0
https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438,Regular goal,1-1,Luis Diaz,27,0
https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438,Regular goal,2-1,Mohamed Salah,36,0
https://www.xscores.com/soccer/match/liverpool-vs-bournemouth/19-08-2023/2139438,Regular goal,3-1,Diogo Jota,62,0
https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,0-1,Kaoru Mitoma,15,0
https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,0-2,Pervis Estupinan,46,0
https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,0-3,Solly March,51,0
https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,0-4,Solly March,55,0
https://www.xscores.com/soccer/match/wolverhampton-vs-brighton/19-08-2023/2139432,Regular goal,1-4,Hee-Chan Hwang,61,0
https://www.xscores.com/soccer/match/tottenham-vs-manchester-united/19-08-2023/2139434,Regular goal,1-0,Pape Sarr,49,0
https://www.xscores.com/soccer/match/tottenham-vs-manchester-united/19-08-2023/2139434,Own goal,2-0,Lisandro Martinez,83,0
https://www.xscores.com/soccer/match/manchester-city-vs-newcastle/19-08-2023/2139436,Regular goal,1-0,Julian Alvarez,31,0
https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441,Regular goal,1-0,John McGinn,18,0
https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441,Penalty,2-0,Douglas Luiz,24,0
https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441,Regular goal,3-0,Leon Bailey,51,0
https://www.xscores.com/soccer/match/aston-villa-vs-everton/20-08-2023/2139441,Regular goal,4-0,Jhon Duran,75,0
https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433,Regular goal,1-0,Nayef Aguerd,7,0
https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433,Regular goal,1-1,Carney Chukwuemeka,28,0
https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433,Regular goal,2-1,Michail Antonio,53,0
https://www.xscores.com/soccer/match/west-ham-vs-chelsea/20-08-2023/2139433,Penalty,3-1,Lucas Paqueta,90,5
https://www.xscores.com/soccer/match/crystal-palace-vs-arsenal/21-08-2023/2139440,Penalty,0-1,Martin Oedegaard,53,0
https://www.xscores.com/soccer/match/luton-vs-burnley/03-10-2023/2139437,Regular goal,0-1,Lyle Foster,45,2
https://www.xscores.com/soccer/match/luton-vs-burnley/03-10-2023/2139437,Regular goal,1-1,Elijah Adebayo,84,0
